Start_local;End_local;Ozone
30/05/2017 10:30;30/05/2017 11:00;26
30/05/2017 11:00;30/05/2017 11:30;30
30/05/2017 11:30;30/05/2017 12:00;37
30/05/2017 12:00;30/05/2017 12:30;44
30/05/2017 12:30;30/05/2017 13:00;48
30/05/2017 13:00;30/05/2017 13:30;45
30/05/2017 13:30;30/05/2017 14:00;47
30/05/2017 14:00;30/05/2017 14:30;51
30/05/2017 14:30;30/05/2017 15:00;52
30/05/2017 15:00;30/05/2017 15:30;54
30/05/2017 15:30;30/05/2017 16:00;53
30/05/2017 16:00;30/05/2017 16:30;50
30/05/2017 16:30;30/05/2017 17:00;49
30/05/2017 17:00;30/05/2017 17:30;49
30/05/2017 17:30;30/05/2017 18:00;50
30/05/2017 18:00;30/05/2017 18:30;49
30/05/2017 18:30;30/05/2017 19:00;47
30/05/2017 19:00;30/05/2017 19:30;46
30/05/2017 19:30;30/05/2017 20:00;42
30/05/2017 20:00;30/05/2017 20:30;40
30/05/2017 20:30;30/05/2017 21:00;35
30/05/2017 21:00;30/05/2017 21:30;33
30/05/2017 21:30;30/05/2017 22:00;32
30/05/2017 22:00;30/05/2017 22:30;33
30/05/2017 22:30;30/05/2017 23:00;33
30/05/2017 23:00;30/05/2017 23:30;29
30/05/2017 23:30;31/05/2017 0:00;30
31/05/2017 0:00;31/05/2017 0:30;32
31/05/2017 0:30;31/05/2017 1:00;41
31/05/2017 1:00;31/05/2017 1:30;54
31/05/2017 1:30;31/05/2017 2:00;44
31/05/2017 2:00;31/05/2017 2:30;29
31/05/2017 2:30;31/05/2017 3:00;26
31/05/2017 3:00;31/05/2017 3:30;27
31/05/2017 3:30;31/05/2017 4:00;25
31/05/2017 4:00;31/05/2017 4:30;22
31/05/2017 4:30;31/05/2017 5:00;18
31/05/2017 5:00;31/05/2017 5:30;18
31/05/2017 5:30;31/05/2017 6:00;20
31/05/2017 6:00;31/05/2017 6:30;20
31/05/2017 6:30;31/05/2017 7:00;20
31/05/2017 7:00;31/05/2017 7:30;20
31/05/2017 7:30;31/05/2017 8:00;22
31/05/2017 8:00;31/05/2017 8:30;28
31/05/2017 8:30;31/05/2017 9:00;35
31/05/2017 9:00;31/05/2017 9:30;42
31/05/2017 9:30;31/05/2017 10:00;41
31/05/2017 10:00;31/05/2017 10:30;42
31/05/2017 10:30;31/05/2017 11:00;46
31/05/2017 11:00;31/05/2017 11:30;48
31/05/2017 11:30;31/05/2017 12:00;58
31/05/2017 12:00;31/05/2017 12:30;66
31/05/2017 12:30;31/05/2017 13:00;80
31/05/2017 13:00;31/05/2017 13:30;86
31/05/2017 13:30;31/05/2017 14:00;87
31/05/2017 14:00;31/05/2017 14:30;87
31/05/2017 14:30;31/05/2017 15:00;88
31/05/2017 15:00;31/05/2017 15:30;89
31/05/2017 15:30;31/05/2017 16:00;89
31/05/2017 16:00;31/05/2017 16:30;86
31/05/2017 16:30;31/05/2017 17:00;91
31/05/2017 17:00;31/05/2017 17:30;104
31/05/2017 17:30;31/05/2017 18:00;113
31/05/2017 18:00;31/05/2017 18:30;95
31/05/2017 18:30;31/05/2017 19:00;89
31/05/2017 19:00;31/05/2017 19:30;83
31/05/2017 19:30;31/05/2017 20:00;83
31/05/2017 20:00;31/05/2017 20:30;80
31/05/2017 20:30;31/05/2017 21:00;75
31/05/2017 21:00;31/05/2017 21:30;76
31/05/2017 21:30;31/05/2017 22:00;57
31/05/2017 22:00;31/05/2017 22:30;42
31/05/2017 22:30;31/05/2017 23:00;38
31/05/2017 23:00;31/05/2017 23:30;38
31/05/2017 23:30;01/06/2017 0:00;41
01/06/2017 0:00;01/06/2017 0:30;40
01/06/2017 0:30;01/06/2017 1:00;34
01/06/2017 1:00;01/06/2017 1:30;25
01/06/2017 1:30;01/06/2017 2:00;23
01/06/2017 2:00;01/06/2017 2:30;21
01/06/2017 2:30;01/06/2017 3:00;20
01/06/2017 3:00;01/06/2017 3:30;21
01/06/2017 3:30;01/06/2017 4:00;22
01/06/2017 4:00;01/06/2017 4:30;22
01/06/2017 4:30;01/06/2017 5:00;23
01/06/2017 5:00;01/06/2017 5:30;22
01/06/2017 5:30;01/06/2017 6:00;20
01/06/2017 6:00;01/06/2017 6:30;19
01/06/2017 6:30;01/06/2017 7:00;17
01/06/2017 7:00;01/06/2017 7:30;17
01/06/2017 7:30;01/06/2017 8:00;21
01/06/2017 8:00;01/06/2017 8:30;29
01/06/2017 8:30;01/06/2017 9:00;33
01/06/2017 9:00;01/06/2017 9:30;38
01/06/2017 9:30;01/06/2017 10:00;45
01/06/2017 10:00;01/06/2017 10:30;52
01/06/2017 10:30;01/06/2017 11:00;61
01/06/2017 11:00;01/06/2017 11:30;77
01/06/2017 11:30;01/06/2017 12:00;94
01/06/2017 12:00;01/06/2017 12:30;97
