Start_local;End_local;Ozone
14/06/2017 11:00;14/06/2017 11:30;109
14/06/2017 11:30;14/06/2017 12:00;114
14/06/2017 12:00;14/06/2017 12:30;120
14/06/2017 12:30;14/06/2017 13:00;122
14/06/2017 13:00;14/06/2017 13:30;121
14/06/2017 13:30;14/06/2017 14:00;124
14/06/2017 14:00;14/06/2017 14:30;130
14/06/2017 14:30;14/06/2017 15:00;136
14/06/2017 15:00;14/06/2017 15:30;140
14/06/2017 15:30;14/06/2017 16:00;140
14/06/2017 16:00;14/06/2017 16:30;135
14/06/2017 16:30;14/06/2017 17:00;133
14/06/2017 17:00;14/06/2017 17:30;131
14/06/2017 17:30;14/06/2017 18:00;127
14/06/2017 18:00;14/06/2017 18:30;128
14/06/2017 18:30;14/06/2017 19:00;123
14/06/2017 19:00;14/06/2017 19:30;118
14/06/2017 19:30;14/06/2017 20:00;112
14/06/2017 20:00;14/06/2017 20:30;103
14/06/2017 20:30;14/06/2017 21:00;95
14/06/2017 21:00;14/06/2017 21:30;87
14/06/2017 21:30;14/06/2017 22:00;81
14/06/2017 22:00;14/06/2017 22:30;78
14/06/2017 22:30;14/06/2017 23:00;78
14/06/2017 23:00;14/06/2017 23:30;79
14/06/2017 23:30;15/06/2017 0:00;76
15/06/2017 0:00;15/06/2017 0:30;65
15/06/2017 0:30;15/06/2017 1:00;62
15/06/2017 1:00;15/06/2017 1:30;60
15/06/2017 1:30;15/06/2017 2:00;56
15/06/2017 2:00;15/06/2017 2:30;51
15/06/2017 2:30;15/06/2017 3:00;50
15/06/2017 3:00;15/06/2017 3:30;50
15/06/2017 3:30;15/06/2017 4:00;50
15/06/2017 4:00;15/06/2017 4:30;49
15/06/2017 4:30;15/06/2017 5:00;48
15/06/2017 5:00;15/06/2017 5:30;46
15/06/2017 5:30;15/06/2017 6:00;44
15/06/2017 6:00;15/06/2017 6:30;44
15/06/2017 6:30;15/06/2017 7:00;45
15/06/2017 7:00;15/06/2017 7:30;48
15/06/2017 7:30;15/06/2017 8:00;62
15/06/2017 8:00;15/06/2017 8:30;69
15/06/2017 8:30;15/06/2017 9:00;75
15/06/2017 9:00;15/06/2017 9:30;80
15/06/2017 9:30;15/06/2017 10:00;86
15/06/2017 10:00;15/06/2017 10:30;95
15/06/2017 10:30;15/06/2017 11:00;102
15/06/2017 11:00;15/06/2017 11:30;110
15/06/2017 11:30;15/06/2017 12:00;110
15/06/2017 12:00;15/06/2017 12:30;112
15/06/2017 12:30;15/06/2017 13:00;115
15/06/2017 13:00;15/06/2017 13:30;121
15/06/2017 13:30;15/06/2017 14:00;130
15/06/2017 14:00;15/06/2017 14:30;134
15/06/2017 14:30;15/06/2017 15:00;139
15/06/2017 15:00;15/06/2017 15:30;141
15/06/2017 15:30;15/06/2017 16:00;144
15/06/2017 16:00;15/06/2017 16:30;141
15/06/2017 16:30;15/06/2017 17:00;140
15/06/2017 17:00;15/06/2017 17:30;138
15/06/2017 17:30;15/06/2017 18:00;133
15/06/2017 18:00;15/06/2017 18:30;132
15/06/2017 18:30;15/06/2017 19:00;132
15/06/2017 19:00;15/06/2017 19:30;127
15/06/2017 19:30;15/06/2017 20:00;119
15/06/2017 20:00;15/06/2017 20:30;107
15/06/2017 20:30;15/06/2017 21:00;98
15/06/2017 21:00;15/06/2017 21:30;86
15/06/2017 21:30;15/06/2017 22:00;76
15/06/2017 22:00;15/06/2017 22:30;78
15/06/2017 22:30;15/06/2017 23:00;79
15/06/2017 23:00;15/06/2017 23:30;74
15/06/2017 23:30;16/06/2017 0:00;68
16/06/2017 0:00;16/06/2017 0:30;69
16/06/2017 0:30;16/06/2017 1:00;70
16/06/2017 1:00;16/06/2017 1:30;69
16/06/2017 1:30;16/06/2017 2:00;68
16/06/2017 2:00;16/06/2017 2:30;64
16/06/2017 2:30;16/06/2017 3:00;55
16/06/2017 3:00;16/06/2017 3:30;55
16/06/2017 3:30;16/06/2017 4:00;54
16/06/2017 4:00;16/06/2017 4:30;51
16/06/2017 4:30;16/06/2017 5:00;50
16/06/2017 5:00;16/06/2017 5:30;50
16/06/2017 5:30;16/06/2017 6:00;49
16/06/2017 6:00;16/06/2017 6:30;48
16/06/2017 6:30;16/06/2017 7:00;51
16/06/2017 7:00;16/06/2017 7:30;61
16/06/2017 7:30;16/06/2017 8:00;72
16/06/2017 8:00;16/06/2017 8:30;77
16/06/2017 8:30;16/06/2017 9:00;77
16/06/2017 9:00;16/06/2017 9:30;83
16/06/2017 9:30;16/06/2017 10:00;90
16/06/2017 10:00;16/06/2017 10:30;100
16/06/2017 10:30;16/06/2017 11:00;110
16/06/2017 11:00;16/06/2017 11:30;116
16/06/2017 11:30;16/06/2017 12:00;107
16/06/2017 12:00;16/06/2017 12:30;108
16/06/2017 12:30;16/06/2017 13:00;106
16/06/2017 13:00;16/06/2017 13:30;108
16/06/2017 13:30;16/06/2017 14:00;116
16/06/2017 14:00;16/06/2017 14:30;122
16/06/2017 14:30;16/06/2017 15:00;129
16/06/2017 15:00;16/06/2017 15:30;137
16/06/2017 15:30;16/06/2017 16:00;140
16/06/2017 16:00;16/06/2017 16:30;137
16/06/2017 16:30;16/06/2017 17:00;132
16/06/2017 17:00;16/06/2017 17:30;127
16/06/2017 17:30;16/06/2017 18:00;122
16/06/2017 18:00;16/06/2017 18:30;118
16/06/2017 18:30;16/06/2017 19:00;109
