Start_local;End_local;Ozone
09/06/2017 10:30;09/06/2017 11:00;80
09/06/2017 11:00;09/06/2017 11:30;92
09/06/2017 11:30;09/06/2017 12:00;101
09/06/2017 12:00;09/06/2017 12:30;108
09/06/2017 12:30;09/06/2017 13:00;113
09/06/2017 13:00;09/06/2017 13:30;115
09/06/2017 13:30;09/06/2017 14:00;116
09/06/2017 14:00;09/06/2017 14:30;113
09/06/2017 14:30;09/06/2017 15:00;108
09/06/2017 15:00;09/06/2017 15:30;107
09/06/2017 15:30;09/06/2017 16:00;106
09/06/2017 16:00;09/06/2017 16:30;105
09/06/2017 16:30;09/06/2017 17:00;105
09/06/2017 17:00;09/06/2017 17:30;102
09/06/2017 17:30;09/06/2017 18:00;101
09/06/2017 18:00;09/06/2017 18:30;99
09/06/2017 18:30;09/06/2017 19:00;95
09/06/2017 19:00;09/06/2017 19:30;94
09/06/2017 19:30;09/06/2017 20:00;88
09/06/2017 20:00;09/06/2017 20:30;85
09/06/2017 20:30;09/06/2017 21:00;82
09/06/2017 21:00;09/06/2017 21:30;76
09/06/2017 21:30;09/06/2017 22:00;72
09/06/2017 22:00;09/06/2017 22:30;71
09/06/2017 22:30;09/06/2017 23:00;65
09/06/2017 23:00;09/06/2017 23:30;60
09/06/2017 23:30;10/06/2017 0:00;59
10/06/2017 0:00;10/06/2017 0:30;59
10/06/2017 0:30;10/06/2017 1:00;54
10/06/2017 1:00;10/06/2017 1:30;53
10/06/2017 1:30;10/06/2017 2:00;51
10/06/2017 2:00;10/06/2017 2:30;49
10/06/2017 2:30;10/06/2017 3:00;49
10/06/2017 3:00;10/06/2017 3:30;47
10/06/2017 3:30;10/06/2017 4:00;44
10/06/2017 4:00;10/06/2017 4:30;44
10/06/2017 4:30;10/06/2017 5:00;44
10/06/2017 5:00;10/06/2017 5:30;44
10/06/2017 5:30;10/06/2017 6:00;43
10/06/2017 6:00;10/06/2017 6:30;42
10/06/2017 6:30;10/06/2017 7:00;43
10/06/2017 7:00;10/06/2017 7:30;47
10/06/2017 7:30;10/06/2017 8:00;54
10/06/2017 8:00;10/06/2017 8:30;62
10/06/2017 8:30;10/06/2017 9:00;76
10/06/2017 9:00;10/06/2017 9:30;73
10/06/2017 9:30;10/06/2017 10:00;80
10/06/2017 10:00;10/06/2017 10:30;89
10/06/2017 10:30;10/06/2017 11:00;109
10/06/2017 11:00;10/06/2017 11:30;118
10/06/2017 11:30;10/06/2017 12:00;117
10/06/2017 12:00;10/06/2017 12:30;115
10/06/2017 12:30;10/06/2017 13:00;117
10/06/2017 13:00;10/06/2017 13:30;118
10/06/2017 13:30;10/06/2017 14:00;116
10/06/2017 14:00;10/06/2017 14:30;119
10/06/2017 14:30;10/06/2017 15:00;121
10/06/2017 15:00;10/06/2017 15:30;122
10/06/2017 15:30;10/06/2017 16:00;122
10/06/2017 16:00;10/06/2017 16:30;118
10/06/2017 16:30;10/06/2017 17:00;117
10/06/2017 17:00;10/06/2017 17:30;115
10/06/2017 17:30;10/06/2017 18:00;113
10/06/2017 18:00;10/06/2017 18:30;113
10/06/2017 18:30;10/06/2017 19:00;108
10/06/2017 19:00;10/06/2017 19:30;106
10/06/2017 19:30;10/06/2017 20:00;106
10/06/2017 20:00;10/06/2017 20:30;101
10/06/2017 20:30;10/06/2017 21:00;97
10/06/2017 21:00;10/06/2017 21:30;89
10/06/2017 21:30;10/06/2017 22:00;85
10/06/2017 22:00;10/06/2017 22:30;81
10/06/2017 22:30;10/06/2017 23:00;73
