Start_local;End_local;Ozone
03/08/2017 12:00;03/08/2017 13:00;111
03/08/2017 13:00;03/08/2017 14:00;121
03/08/2017 14:00;03/08/2017 15:00;132
03/08/2017 15:00;03/08/2017 16:00;135
03/08/2017 16:00;03/08/2017 17:00;126
03/08/2017 17:00;03/08/2017 18:00;120
03/08/2017 18:00;03/08/2017 19:00;120
03/08/2017 19:00;03/08/2017 20:00;114
03/08/2017 20:00;03/08/2017 21:00;103
03/08/2017 21:00;03/08/2017 22:00;99
03/08/2017 22:00;03/08/2017 23:00;105
03/08/2017 23:00;04/08/2017 0:00;105
04/08/2017 0:00;04/08/2017 1:00;100
04/08/2017 1:00;04/08/2017 2:00;95
04/08/2017 2:00;04/08/2017 3:00;92
04/08/2017 3:00;04/08/2017 4:00;92
04/08/2017 4:00;04/08/2017 5:00;85
04/08/2017 5:00;04/08/2017 6:00;80
04/08/2017 6:00;04/08/2017 7:00;67
04/08/2017 7:00;04/08/2017 8:00;85
04/08/2017 8:00;04/08/2017 9:00;110
04/08/2017 9:00;04/08/2017 10:00;125
04/08/2017 10:00;04/08/2017 11:00;109
04/08/2017 11:00;04/08/2017 12:00;123
04/08/2017 12:00;04/08/2017 13:00;130
04/08/2017 13:00;04/08/2017 14:00;140
04/08/2017 14:00;04/08/2017 15:00;140
04/08/2017 15:00;04/08/2017 16:00;137
04/08/2017 16:00;04/08/2017 17:00;135
04/08/2017 17:00;04/08/2017 18:00;134
04/08/2017 18:00;04/08/2017 19:00;132
04/08/2017 19:00;04/08/2017 20:00;121
04/08/2017 20:00;04/08/2017 21:00;112
04/08/2017 21:00;04/08/2017 22:00;106
04/08/2017 22:00;04/08/2017 23:00;108
04/08/2017 23:00;05/08/2017 0:00;107
05/08/2017 0:00;05/08/2017 1:00;105
05/08/2017 1:00;05/08/2017 2:00;102
05/08/2017 2:00;05/08/2017 3:00;102
05/08/2017 3:00;05/08/2017 4:00;95
05/08/2017 4:00;05/08/2017 5:00;88
05/08/2017 5:00;05/08/2017 6:00;91
05/08/2017 6:00;05/08/2017 7:00;93
05/08/2017 7:00;05/08/2017 8:00;93
05/08/2017 8:00;05/08/2017 9:00;117
05/08/2017 9:00;05/08/2017 10:00;128
05/08/2017 10:00;05/08/2017 11:00;110
