Start_local;End_local;Ozone
21/06/2017 10:00;21/06/2017 10:30;80
21/06/2017 10:30;21/06/2017 11:00;89
21/06/2017 11:00;21/06/2017 11:30;101
21/06/2017 11:30;21/06/2017 12:00;112
21/06/2017 12:00;21/06/2017 12:30;120
21/06/2017 12:30;21/06/2017 13:00;122
21/06/2017 13:00;21/06/2017 13:30;124
21/06/2017 13:30;21/06/2017 14:00;120
21/06/2017 14:00;21/06/2017 14:30;98
21/06/2017 14:30;21/06/2017 15:00;84
21/06/2017 15:00;21/06/2017 15:30;49
21/06/2017 15:30;21/06/2017 16:00;40
21/06/2017 16:00;21/06/2017 16:30;44
21/06/2017 16:30;21/06/2017 17:00;39
21/06/2017 17:00;21/06/2017 17:30;44
21/06/2017 17:30;21/06/2017 18:00;53
21/06/2017 18:00;21/06/2017 18:30;59
21/06/2017 18:30;21/06/2017 19:00;61
21/06/2017 19:00;21/06/2017 19:30;59
21/06/2017 19:30;21/06/2017 20:00;61
21/06/2017 20:00;21/06/2017 20:30;61
21/06/2017 20:30;21/06/2017 21:00;56
21/06/2017 21:00;21/06/2017 21:30;51
21/06/2017 21:30;21/06/2017 22:00;48
21/06/2017 22:00;21/06/2017 22:30;45
21/06/2017 22:30;21/06/2017 23:00;43
21/06/2017 23:00;21/06/2017 23:30;42
21/06/2017 23:30;22/06/2017 0:00;42
22/06/2017 0:00;22/06/2017 0:30;43
22/06/2017 0:30;22/06/2017 1:00;42
22/06/2017 1:00;22/06/2017 1:30;43
22/06/2017 1:30;22/06/2017 2:00;41
22/06/2017 2:00;22/06/2017 2:30;40
22/06/2017 2:30;22/06/2017 3:00;40
22/06/2017 3:00;22/06/2017 3:30;40
22/06/2017 3:30;22/06/2017 4:00;40
22/06/2017 4:00;22/06/2017 4:30;39
22/06/2017 4:30;22/06/2017 5:00;38
22/06/2017 5:00;22/06/2017 5:30;39
22/06/2017 5:30;22/06/2017 6:00;38
22/06/2017 6:00;22/06/2017 6:30;39
22/06/2017 6:30;22/06/2017 7:00;40
22/06/2017 7:00;22/06/2017 7:30;43
22/06/2017 7:30;22/06/2017 8:00;52
22/06/2017 8:00;22/06/2017 8:30;57
22/06/2017 8:30;22/06/2017 9:00;59
22/06/2017 9:00;22/06/2017 9:30;61
22/06/2017 9:30;22/06/2017 10:00;71
22/06/2017 10:00;22/06/2017 10:30;86
22/06/2017 10:30;22/06/2017 11:00;88
22/06/2017 11:00;22/06/2017 11:30;88
22/06/2017 11:30;22/06/2017 12:00;99
22/06/2017 12:00;22/06/2017 12:30;106
22/06/2017 12:30;22/06/2017 13:00;111
22/06/2017 13:00;22/06/2017 13:30;116
22/06/2017 13:30;22/06/2017 14:00;115
22/06/2017 14:00;22/06/2017 14:30;119
22/06/2017 14:30;22/06/2017 15:00;121
22/06/2017 15:00;22/06/2017 15:30;129
22/06/2017 15:30;22/06/2017 16:00;129
22/06/2017 16:00;22/06/2017 16:30;130
22/06/2017 16:30;22/06/2017 17:00;129
22/06/2017 17:00;22/06/2017 17:30;113
22/06/2017 17:30;22/06/2017 18:00;98
22/06/2017 18:00;22/06/2017 18:30;90
22/06/2017 18:30;22/06/2017 19:00;82
22/06/2017 19:00;22/06/2017 19:30;81
22/06/2017 19:30;22/06/2017 20:00;74
22/06/2017 20:00;22/06/2017 20:30;71
22/06/2017 20:30;22/06/2017 21:00;67
22/06/2017 21:00;22/06/2017 21:30;65
22/06/2017 21:30;22/06/2017 22:00;60
22/06/2017 22:00;22/06/2017 22:30;59
22/06/2017 22:30;22/06/2017 23:00;59
22/06/2017 23:00;22/06/2017 23:30;56
22/06/2017 23:30;23/06/2017 0:00;54
23/06/2017 0:00;23/06/2017 0:30;54
23/06/2017 0:30;23/06/2017 1:00;51
23/06/2017 1:00;23/06/2017 1:30;50
23/06/2017 1:30;23/06/2017 2:00;48
23/06/2017 2:00;23/06/2017 2:30;46
23/06/2017 2:30;23/06/2017 3:00;45
23/06/2017 3:00;23/06/2017 3:30;45
23/06/2017 3:30;23/06/2017 4:00;43
