Start_local;End_local;Ozone
14/06/2017 12:00;14/06/2017 12:30;60
14/06/2017 12:30;14/06/2017 13:00;78
14/06/2017 13:00;14/06/2017 13:30;100
14/06/2017 13:30;14/06/2017 14:00;110
14/06/2017 14:00;14/06/2017 14:30;125
14/06/2017 14:30;14/06/2017 15:00;136
14/06/2017 15:00;14/06/2017 15:30;133
14/06/2017 15:30;14/06/2017 16:00;130
14/06/2017 16:00;14/06/2017 16:30;130
14/06/2017 16:30;14/06/2017 17:00;126
14/06/2017 17:00;14/06/2017 17:30;124
14/06/2017 17:30;14/06/2017 18:00;121
14/06/2017 18:00;14/06/2017 18:30;118
14/06/2017 18:30;14/06/2017 19:00;114
14/06/2017 19:00;14/06/2017 19:30;105
14/06/2017 19:30;14/06/2017 20:00;98
14/06/2017 20:00;14/06/2017 20:30;91
14/06/2017 20:30;14/06/2017 21:00;79
14/06/2017 21:00;14/06/2017 21:30;67
14/06/2017 21:30;14/06/2017 22:00;63
14/06/2017 22:00;14/06/2017 22:30;71
14/06/2017 22:30;14/06/2017 23:00;67
14/06/2017 23:00;14/06/2017 23:30;59
14/06/2017 23:30;15/06/2017 0:00;70
15/06/2017 0:00;15/06/2017 0:30;54
15/06/2017 0:30;15/06/2017 1:00;43
15/06/2017 1:00;15/06/2017 1:30;43
15/06/2017 1:30;15/06/2017 2:00;40
15/06/2017 2:00;15/06/2017 2:30;43
15/06/2017 2:30;15/06/2017 3:00;42
15/06/2017 3:00;15/06/2017 3:30;37
15/06/2017 3:30;15/06/2017 4:00;41
15/06/2017 4:00;15/06/2017 4:30;40
15/06/2017 4:30;15/06/2017 5:00;35
15/06/2017 5:00;15/06/2017 5:30;38
15/06/2017 5:30;15/06/2017 6:00;34
15/06/2017 6:00;15/06/2017 6:30;34
15/06/2017 6:30;15/06/2017 7:00;30
15/06/2017 7:00;15/06/2017 7:30;30
15/06/2017 7:30;15/06/2017 8:00;39
15/06/2017 8:00;15/06/2017 8:30;45
15/06/2017 8:30;15/06/2017 9:00;53
15/06/2017 9:00;15/06/2017 9:30;61
15/06/2017 9:30;15/06/2017 10:00;69
15/06/2017 10:00;15/06/2017 10:30;74
15/06/2017 10:30;15/06/2017 11:00;86
15/06/2017 11:00;15/06/2017 11:30;98
15/06/2017 11:30;15/06/2017 12:00;110
15/06/2017 12:00;15/06/2017 12:30;115
15/06/2017 12:30;15/06/2017 13:00;124
15/06/2017 13:00;15/06/2017 13:30;139
15/06/2017 13:30;15/06/2017 14:00;148
15/06/2017 14:00;15/06/2017 14:30;153
15/06/2017 14:30;15/06/2017 15:00;153
15/06/2017 15:00;15/06/2017 15:30;158
15/06/2017 15:30;15/06/2017 16:00;161
15/06/2017 16:00;15/06/2017 16:30;150
15/06/2017 16:30;15/06/2017 17:00;145
15/06/2017 17:00;15/06/2017 17:30;140
15/06/2017 17:30;15/06/2017 18:00;142
15/06/2017 18:00;15/06/2017 18:30;143
15/06/2017 18:30;15/06/2017 19:00;142
15/06/2017 19:00;15/06/2017 19:30;135
15/06/2017 19:30;15/06/2017 20:00;128
15/06/2017 20:00;15/06/2017 20:30;117
15/06/2017 20:30;15/06/2017 21:00;94
15/06/2017 21:00;15/06/2017 21:30;85
15/06/2017 21:30;15/06/2017 22:00;82
15/06/2017 22:00;15/06/2017 22:30;76
15/06/2017 22:30;15/06/2017 23:00;73
15/06/2017 23:00;15/06/2017 23:30;68
15/06/2017 23:30;16/06/2017 0:00;66
16/06/2017 0:00;16/06/2017 0:30;70
16/06/2017 0:30;16/06/2017 1:00;61
16/06/2017 1:00;16/06/2017 1:30;55
