Start_local;End_local;Ozone
19/06/2017 12:30;19/06/2017 13:00;50
19/06/2017 13:00;19/06/2017 13:30;61
19/06/2017 13:30;19/06/2017 14:00;84
19/06/2017 14:00;19/06/2017 14:30;90
19/06/2017 14:30;19/06/2017 15:00;96
19/06/2017 15:00;19/06/2017 15:30;100
19/06/2017 15:30;19/06/2017 16:00;95
19/06/2017 16:00;19/06/2017 16:30;100
19/06/2017 16:30;19/06/2017 17:00;96
19/06/2017 17:00;19/06/2017 17:30;98
19/06/2017 17:30;19/06/2017 18:00;97
19/06/2017 18:00;19/06/2017 18:30;100
19/06/2017 18:30;19/06/2017 19:00;91
19/06/2017 19:00;19/06/2017 19:30;94
19/06/2017 19:30;19/06/2017 20:00;90
19/06/2017 20:00;19/06/2017 20:30;85
19/06/2017 20:30;19/06/2017 21:00;92
19/06/2017 21:00;19/06/2017 21:30;96
19/06/2017 21:30;19/06/2017 22:00;95
19/06/2017 22:00;19/06/2017 22:30;97
19/06/2017 22:30;19/06/2017 23:00;98
19/06/2017 23:00;19/06/2017 23:30;98
19/06/2017 23:30;20/06/2017 0:00;94
20/06/2017 0:00;20/06/2017 0:30;93
20/06/2017 0:30;20/06/2017 1:00;85
20/06/2017 1:00;20/06/2017 1:30;86
20/06/2017 1:30;20/06/2017 2:00;90
20/06/2017 2:00;20/06/2017 2:30;87
20/06/2017 2:30;20/06/2017 3:00;90
20/06/2017 3:00;20/06/2017 3:30;87
20/06/2017 3:30;20/06/2017 4:00;80
20/06/2017 4:00;20/06/2017 4:30;76
20/06/2017 4:30;20/06/2017 5:00;58
20/06/2017 5:00;20/06/2017 5:30;60
20/06/2017 5:30;20/06/2017 6:00;74
20/06/2017 6:00;20/06/2017 6:30;45
20/06/2017 6:30;20/06/2017 7:00;44
20/06/2017 7:00;20/06/2017 7:30;58
20/06/2017 7:30;20/06/2017 8:00;74
20/06/2017 8:00;20/06/2017 8:30;78
20/06/2017 8:30;20/06/2017 9:00;80
20/06/2017 9:00;20/06/2017 9:30;79
20/06/2017 9:30;20/06/2017 10:00;81
20/06/2017 10:00;20/06/2017 10:30;110
20/06/2017 10:30;20/06/2017 11:00;119
20/06/2017 11:00;20/06/2017 11:30;126
20/06/2017 11:30;20/06/2017 12:00;124
20/06/2017 12:00;20/06/2017 12:30;128
20/06/2017 12:30;20/06/2017 13:00;130
20/06/2017 13:00;20/06/2017 13:30;128
20/06/2017 13:30;20/06/2017 14:00;133
20/06/2017 14:00;20/06/2017 14:30;131
20/06/2017 14:30;20/06/2017 15:00;138
20/06/2017 15:00;20/06/2017 15:30;132
20/06/2017 15:30;20/06/2017 16:00;133
20/06/2017 16:00;20/06/2017 16:30;131
20/06/2017 16:30;20/06/2017 17:00;139
20/06/2017 17:00;20/06/2017 17:30;134
20/06/2017 17:30;20/06/2017 18:00;133
20/06/2017 18:00;20/06/2017 18:30;136
20/06/2017 18:30;20/06/2017 19:00;135
20/06/2017 19:00;20/06/2017 19:30;132
20/06/2017 19:30;20/06/2017 20:00;122
20/06/2017 20:00;20/06/2017 20:30;115
