Start_local;End_local;Ozone
16/06/2017 14:00;16/06/2017 14:30;136
16/06/2017 14:30;16/06/2017 15:00;138
16/06/2017 15:00;16/06/2017 15:30;145
16/06/2017 15:30;16/06/2017 16:00;149
16/06/2017 16:00;16/06/2017 16:30;152
16/06/2017 16:30;16/06/2017 17:00;149
16/06/2017 17:00;16/06/2017 17:30;144
16/06/2017 17:30;16/06/2017 18:00;139
16/06/2017 18:00;16/06/2017 18:30;131
16/06/2017 18:30;16/06/2017 19:00;120
16/06/2017 19:00;16/06/2017 19:30;114
16/06/2017 19:30;16/06/2017 20:00;122
16/06/2017 20:00;16/06/2017 20:30;113
16/06/2017 20:30;16/06/2017 21:00;111
16/06/2017 21:00;16/06/2017 21:30;105
16/06/2017 21:30;16/06/2017 22:00;102
16/06/2017 22:00;16/06/2017 22:30;89
16/06/2017 22:30;16/06/2017 23:00;72
16/06/2017 23:00;16/06/2017 23:30;67
16/06/2017 23:30;17/06/2017 0:00;67
17/06/2017 0:00;17/06/2017 0:30;66
17/06/2017 0:30;17/06/2017 1:00;62
17/06/2017 1:00;17/06/2017 1:30;61
17/06/2017 1:30;17/06/2017 2:00;61
17/06/2017 2:00;17/06/2017 2:30;59
17/06/2017 2:30;17/06/2017 3:00;54
17/06/2017 3:00;17/06/2017 3:30;54
17/06/2017 3:30;17/06/2017 4:00;54
17/06/2017 4:00;17/06/2017 4:30;51
17/06/2017 4:30;17/06/2017 5:00;53
17/06/2017 5:00;17/06/2017 5:30;50
17/06/2017 5:30;17/06/2017 6:00;43
17/06/2017 6:00;17/06/2017 6:30;45
17/06/2017 6:30;17/06/2017 7:00;43
17/06/2017 7:00;17/06/2017 7:30;45
17/06/2017 7:30;17/06/2017 8:00;51
17/06/2017 8:00;17/06/2017 8:30;55
17/06/2017 8:30;17/06/2017 9:00;71
17/06/2017 9:00;17/06/2017 9:30;89
17/06/2017 9:30;17/06/2017 10:00;98
17/06/2017 10:00;17/06/2017 10:30;104
17/06/2017 10:30;17/06/2017 11:00;111
17/06/2017 11:00;17/06/2017 11:30;118
17/06/2017 11:30;17/06/2017 12:00;118
17/06/2017 12:00;17/06/2017 12:30;127
17/06/2017 12:30;17/06/2017 13:00;127
17/06/2017 13:00;17/06/2017 13:30;126
17/06/2017 13:30;17/06/2017 14:00;121
17/06/2017 14:00;17/06/2017 14:30;119
17/06/2017 14:30;17/06/2017 15:00;120
17/06/2017 15:00;17/06/2017 15:30;120
17/06/2017 15:30;17/06/2017 16:00;117
17/06/2017 16:00;17/06/2017 16:30;117
17/06/2017 16:30;17/06/2017 17:00;117
17/06/2017 17:00;17/06/2017 17:30;124
17/06/2017 17:30;17/06/2017 18:00;117
17/06/2017 18:00;17/06/2017 18:30;118
17/06/2017 18:30;17/06/2017 19:00;115
17/06/2017 19:00;17/06/2017 19:30;114
17/06/2017 19:30;17/06/2017 20:00;112
17/06/2017 20:00;17/06/2017 20:30;106
17/06/2017 20:30;17/06/2017 21:00;107
17/06/2017 21:00;17/06/2017 21:30;99
17/06/2017 21:30;17/06/2017 22:00;92
17/06/2017 22:00;17/06/2017 22:30;80
17/06/2017 22:30;17/06/2017 23:00;66
17/06/2017 23:00;17/06/2017 23:30;60
17/06/2017 23:30;18/06/2017 0:00;61
18/06/2017 0:00;18/06/2017 0:30;61
18/06/2017 0:30;18/06/2017 1:00;62
18/06/2017 1:00;18/06/2017 1:30;59
18/06/2017 1:30;18/06/2017 2:00;55
18/06/2017 2:00;18/06/2017 2:30;54
18/06/2017 2:30;18/06/2017 3:00;55
18/06/2017 3:00;18/06/2017 3:30;48
18/06/2017 3:30;18/06/2017 4:00;48
18/06/2017 4:00;18/06/2017 4:30;47
18/06/2017 4:30;18/06/2017 5:00;48
18/06/2017 5:00;18/06/2017 5:30;46
18/06/2017 5:30;18/06/2017 6:00;46
18/06/2017 6:00;18/06/2017 6:30;46
18/06/2017 6:30;18/06/2017 7:00;43
18/06/2017 7:00;18/06/2017 7:30;42
18/06/2017 7:30;18/06/2017 8:00;46
18/06/2017 8:00;18/06/2017 8:30;49
18/06/2017 8:30;18/06/2017 9:00;73
18/06/2017 9:00;18/06/2017 9:30;83
18/06/2017 9:30;18/06/2017 10:00;91
18/06/2017 10:00;18/06/2017 10:30;102
