24,"Italy","Boves (Piemonte)",44.3296258,7.5518938
28,"Italy","Gossolengo (Emilia Romagna)",45.0022355,9.6165633
29,"Italy","Carmagnola (Piemonte)",44.8469469,7.7178741
30,"Italy","Ponte di Barbarano (Veneto)",45.3922174,11.5753198
31,"Italy","Cuneo reference station (Piemonte)",44.3895619,7.5478699
33,"Italy","Monte Cucco reference station (Elilia Romagna)",44.5569902,9.5528233
34,"Italy","Pontenure (Elilia Romagna)",44.9991650,9.7885690
35,"Italy","Osio Sotto reference station (Lombardia)",45.6160780,9.5890530
1,"Spain","Cantonigròs (L’Esquirol, Osona)",42.0401984,2.4041980
2,"Spain","Sant Vicenç de Torelló (Osona)",42.0630229,2.2723370
3,"Spain","Sant Pere de Torelló (Osona)",42.0753789,2.2954977
4,"Spain","Centelles (Osona)",41.7981296,2.2218056
5,"Spain","Gurb (Osona)",41.9411440,2.2426161
6,"Spain","Santa Eulàlia de Riuprimer (Osona)",41.9109533,2.1886023
7,"Spain","Hostalets de Balenyà (Osona)",41.8099660,2.2290345
9,"Spain","Barcelona reference station (Barcelonès)",41.3828939,2.1774322
10,"Spain","Santa Cecília de Voltregà (Osona)",41.9930549,2.2223250
11,"Spain","Sant Martí Sescorts (Osona)",42.0131230,2.3257273
12,"Spain","Taradell (Osona)",41.8762624,2.2859511
13,"Spain","Manlleu reference station (Osona)",41.9999811,2.2841159
14,"Spain","Calldetenes (Osona)",41.9257651,2.2834318
15,"Spain","Sentmenat (Vallès Occidental)",41.6110502,2.1374456
16,"Spain","Vic reference station (Osona)",41.9292417,2.2548654
17,"Spain","Tona reference station (Osona)",41.8538039,2.2280115
18,"Spain","Badalona (Barcelonès)",41.4493539,2.2482540
19,"Spain","Barcelona (Barcelonès)",41.3828939,2.1774322
20,"Spain","Sant Cebrià de Vallalta (Maresme)",41.6203530,2.6017906
21,"Spain","Montseny reference station (Vallès Oriental)",41.7593697,2.3952061
22,"Spain","Llinars del Vallès (Vallès Oriental)",41.6383547,2.4033771
23,"Spain","Tona (Osona)",41.8538039,2.2280115
25,"Spain","Cànoves (Vallès Oriental)",41.6935111,2.3527958
26,"Spain","Vilanova del Vallès (Vallès Oriental)",41.5536734,2.2862297
27,"Spain","Santa Eugènia de Berga (Osona)",41.9000058,2.2833190
