Start_local;End_local;Ozone
21/06/2017 13:30;21/06/2017 14:00;89
21/06/2017 14:00;21/06/2017 14:30;103
21/06/2017 14:30;21/06/2017 15:00;107
21/06/2017 15:00;21/06/2017 15:30;106
21/06/2017 15:30;21/06/2017 16:00;80
21/06/2017 16:00;21/06/2017 16:30;71
21/06/2017 16:30;21/06/2017 17:00;73
21/06/2017 17:00;21/06/2017 17:30;80
21/06/2017 17:30;21/06/2017 18:00;88
21/06/2017 18:00;21/06/2017 18:30;82
21/06/2017 18:30;21/06/2017 19:00;89
21/06/2017 19:00;21/06/2017 19:30;94
21/06/2017 19:30;21/06/2017 20:00;80
21/06/2017 20:00;21/06/2017 20:30;74
21/06/2017 20:30;21/06/2017 21:00;76
21/06/2017 21:00;21/06/2017 21:30;77
21/06/2017 21:30;21/06/2017 22:00;80
21/06/2017 22:00;21/06/2017 22:30;75
21/06/2017 22:30;21/06/2017 23:00;77
21/06/2017 23:00;21/06/2017 23:30;81
21/06/2017 23:30;22/06/2017 0:00;78
22/06/2017 0:00;22/06/2017 0:30;79
22/06/2017 0:30;22/06/2017 1:00;81
22/06/2017 1:00;22/06/2017 1:30;82
22/06/2017 1:30;22/06/2017 2:00;81
22/06/2017 2:00;22/06/2017 2:30;81
22/06/2017 2:30;22/06/2017 3:00;81
22/06/2017 3:00;22/06/2017 3:30;84
22/06/2017 3:30;22/06/2017 4:00;79
22/06/2017 4:00;22/06/2017 4:30;85
22/06/2017 4:30;22/06/2017 5:00;82
22/06/2017 5:00;22/06/2017 5:30;84
22/06/2017 5:30;22/06/2017 6:00;84
22/06/2017 6:00;22/06/2017 6:30;84
22/06/2017 6:30;22/06/2017 7:00;78
22/06/2017 7:00;22/06/2017 7:30;81
22/06/2017 7:30;22/06/2017 8:00;82
22/06/2017 8:00;22/06/2017 8:30;80
22/06/2017 8:30;22/06/2017 9:00;77
22/06/2017 9:00;22/06/2017 9:30;78
22/06/2017 9:30;22/06/2017 10:00;74
22/06/2017 10:00;22/06/2017 10:30;80
22/06/2017 10:30;22/06/2017 11:00;96
22/06/2017 11:00;22/06/2017 11:30;107
22/06/2017 11:30;22/06/2017 12:00;117
22/06/2017 12:00;22/06/2017 12:30;121
22/06/2017 12:30;22/06/2017 13:00;125
22/06/2017 13:00;22/06/2017 13:30;130
22/06/2017 13:30;22/06/2017 14:00;129
22/06/2017 14:00;22/06/2017 14:30;133
22/06/2017 14:30;22/06/2017 15:00;135
22/06/2017 15:00;22/06/2017 15:30;129
22/06/2017 15:30;22/06/2017 16:00;123
22/06/2017 16:00;22/06/2017 16:30;121
22/06/2017 16:30;22/06/2017 17:00;120
22/06/2017 17:00;22/06/2017 17:30;116
22/06/2017 17:30;22/06/2017 18:00;112
22/06/2017 18:00;22/06/2017 18:30;109
22/06/2017 18:30;22/06/2017 19:00;101
22/06/2017 19:00;22/06/2017 19:30;92
22/06/2017 19:30;22/06/2017 20:00;82
22/06/2017 20:00;22/06/2017 20:30;78
22/06/2017 20:30;22/06/2017 21:00;75
22/06/2017 21:00;22/06/2017 21:30;72
22/06/2017 21:30;22/06/2017 22:00;72
22/06/2017 22:00;22/06/2017 22:30;74
22/06/2017 22:30;22/06/2017 23:00;74
22/06/2017 23:00;22/06/2017 23:30;80
22/06/2017 23:30;23/06/2017 0:00;86
23/06/2017 0:00;23/06/2017 0:30;89
23/06/2017 0:30;23/06/2017 1:00;86
23/06/2017 1:00;23/06/2017 1:30;86
23/06/2017 1:30;23/06/2017 2:00;90
23/06/2017 2:00;23/06/2017 2:30;85
23/06/2017 2:30;23/06/2017 3:00;88
23/06/2017 3:00;23/06/2017 3:30;92
23/06/2017 3:30;23/06/2017 4:00;92
23/06/2017 4:00;23/06/2017 4:30;89
23/06/2017 4:30;23/06/2017 5:00;92
23/06/2017 5:00;23/06/2017 5:30;89
23/06/2017 5:30;23/06/2017 6:00;88
23/06/2017 6:00;23/06/2017 6:30;90
23/06/2017 6:30;23/06/2017 7:00;94
23/06/2017 7:00;23/06/2017 7:30;94
23/06/2017 7:30;23/06/2017 8:00;89
23/06/2017 8:00;23/06/2017 8:30;82
23/06/2017 8:30;23/06/2017 9:00;71
23/06/2017 9:00;23/06/2017 9:30;67
23/06/2017 9:30;23/06/2017 10:00;70
23/06/2017 10:00;23/06/2017 10:30;84
23/06/2017 10:30;23/06/2017 11:00;93
23/06/2017 11:00;23/06/2017 11:30;103
23/06/2017 11:30;23/06/2017 12:00;112
23/06/2017 12:00;23/06/2017 12:30;122
23/06/2017 12:30;23/06/2017 13:00;127
23/06/2017 13:00;23/06/2017 13:30;130
23/06/2017 13:30;23/06/2017 14:00;127
23/06/2017 14:00;23/06/2017 14:30;128
23/06/2017 14:30;23/06/2017 15:00;129
23/06/2017 15:00;23/06/2017 15:30;125
23/06/2017 15:30;23/06/2017 16:00;123
23/06/2017 16:00;23/06/2017 16:30;123
23/06/2017 16:30;23/06/2017 17:00;121
23/06/2017 17:00;23/06/2017 17:30;121
23/06/2017 17:30;23/06/2017 18:00;116
23/06/2017 18:00;23/06/2017 18:30;110
23/06/2017 18:30;23/06/2017 19:00;105
23/06/2017 19:00;23/06/2017 19:30;105
23/06/2017 19:30;23/06/2017 20:00;105
23/06/2017 20:00;23/06/2017 20:30;105
23/06/2017 20:30;23/06/2017 21:00;88
23/06/2017 21:00;23/06/2017 21:30;74
23/06/2017 21:30;23/06/2017 22:00;72
23/06/2017 22:00;23/06/2017 22:30;72
23/06/2017 22:30;23/06/2017 23:00;84
23/06/2017 23:00;23/06/2017 23:30;83
23/06/2017 23:30;24/06/2017 0:00;81
24/06/2017 0:00;24/06/2017 0:30;80
24/06/2017 0:30;24/06/2017 1:00;79
24/06/2017 1:00;24/06/2017 1:30;77
24/06/2017 1:30;24/06/2017 2:00;75
24/06/2017 2:00;24/06/2017 2:30;73
24/06/2017 2:30;24/06/2017 3:00;84
24/06/2017 3:00;24/06/2017 3:30;84
24/06/2017 3:30;24/06/2017 4:00;82
24/06/2017 4:00;24/06/2017 4:30;83
24/06/2017 4:30;24/06/2017 5:00;82
24/06/2017 5:00;24/06/2017 5:30;80
24/06/2017 5:30;24/06/2017 6:00;81
24/06/2017 6:00;24/06/2017 6:30;80
24/06/2017 6:30;24/06/2017 7:00;77
24/06/2017 7:00;24/06/2017 7:30;73
24/06/2017 7:30;24/06/2017 8:00;73
24/06/2017 8:00;24/06/2017 8:30;73
24/06/2017 8:30;24/06/2017 9:00;73
24/06/2017 9:00;24/06/2017 9:30;71
24/06/2017 9:30;24/06/2017 10:00;76
24/06/2017 10:00;24/06/2017 10:30;84
24/06/2017 10:30;24/06/2017 11:00;98
24/06/2017 11:00;24/06/2017 11:30;105
24/06/2017 11:30;24/06/2017 12:00;111
24/06/2017 12:00;24/06/2017 12:30;115
24/06/2017 12:30;24/06/2017 13:00;117
24/06/2017 13:00;24/06/2017 13:30;115
24/06/2017 13:30;24/06/2017 14:00;119
24/06/2017 14:00;24/06/2017 14:30;113
24/06/2017 14:30;24/06/2017 15:00;112
24/06/2017 15:00;24/06/2017 15:30;113
24/06/2017 15:30;24/06/2017 16:00;111
24/06/2017 16:00;24/06/2017 16:30;114
24/06/2017 16:30;24/06/2017 17:00;113
24/06/2017 17:00;24/06/2017 17:30;112
24/06/2017 17:30;24/06/2017 18:00;109
24/06/2017 18:00;24/06/2017 18:30;100
24/06/2017 18:30;24/06/2017 19:00;99
24/06/2017 19:00;24/06/2017 19:30;95
24/06/2017 19:30;24/06/2017 20:00;100
24/06/2017 20:00;24/06/2017 20:30;93
24/06/2017 20:30;24/06/2017 21:00;81
