Start_local;End_local;Ozone
21/06/2017 15:30;21/06/2017 16:00;89
21/06/2017 16:00;21/06/2017 16:30;98
21/06/2017 16:30;21/06/2017 17:00;105
21/06/2017 17:00;21/06/2017 17:30;109
21/06/2017 17:30;21/06/2017 18:00;112
21/06/2017 18:00;21/06/2017 18:30;111
21/06/2017 18:30;21/06/2017 19:00;115
21/06/2017 19:00;21/06/2017 19:30;107
21/06/2017 19:30;21/06/2017 20:00;110
21/06/2017 20:00;21/06/2017 20:30;111
21/06/2017 20:30;21/06/2017 21:00;108
21/06/2017 21:00;21/06/2017 21:30;112
21/06/2017 21:30;21/06/2017 22:00;106
21/06/2017 22:00;21/06/2017 22:30;103
21/06/2017 22:30;21/06/2017 23:00;105
21/06/2017 23:00;21/06/2017 23:30;104
21/06/2017 23:30;22/06/2017 0:00;104
22/06/2017 0:00;22/06/2017 0:30;102
22/06/2017 0:30;22/06/2017 1:00;101
22/06/2017 1:00;22/06/2017 1:30;98
22/06/2017 1:30;22/06/2017 2:00;99
22/06/2017 2:00;22/06/2017 2:30;100
22/06/2017 2:30;22/06/2017 3:00;100
22/06/2017 3:00;22/06/2017 3:30;98
22/06/2017 3:30;22/06/2017 4:00;96
22/06/2017 4:00;22/06/2017 4:30;97
22/06/2017 4:30;22/06/2017 5:00;101
22/06/2017 5:00;22/06/2017 5:30;104
22/06/2017 5:30;22/06/2017 6:00;101
22/06/2017 6:00;22/06/2017 6:30;104
22/06/2017 6:30;22/06/2017 7:00;102
22/06/2017 7:00;22/06/2017 7:30;101
22/06/2017 7:30;22/06/2017 8:00;100
22/06/2017 8:00;22/06/2017 8:30;93
22/06/2017 8:30;22/06/2017 9:00;95
22/06/2017 9:00;22/06/2017 9:30;98
22/06/2017 9:30;22/06/2017 10:00;100
22/06/2017 10:00;22/06/2017 10:30;109
22/06/2017 10:30;22/06/2017 11:00;115
22/06/2017 11:00;22/06/2017 11:30;120
22/06/2017 11:30;22/06/2017 12:00;123
22/06/2017 12:00;22/06/2017 12:30;128
22/06/2017 12:30;22/06/2017 13:00;140
22/06/2017 13:00;22/06/2017 13:30;148
22/06/2017 13:30;22/06/2017 14:00;154
22/06/2017 14:00;22/06/2017 14:30;153
22/06/2017 14:30;22/06/2017 15:00;140
22/06/2017 15:00;22/06/2017 15:30;136
22/06/2017 15:30;22/06/2017 16:00;131
22/06/2017 16:00;22/06/2017 16:30;130
22/06/2017 16:30;22/06/2017 17:00;126
22/06/2017 17:00;22/06/2017 17:30;130
22/06/2017 17:30;22/06/2017 18:00;131
22/06/2017 18:00;22/06/2017 18:30;124
22/06/2017 18:30;22/06/2017 19:00;116
22/06/2017 19:00;22/06/2017 19:30;111
22/06/2017 19:30;22/06/2017 20:00;101
22/06/2017 20:00;22/06/2017 20:30;98
22/06/2017 20:30;22/06/2017 21:00;86
22/06/2017 21:00;22/06/2017 21:30;89
22/06/2017 21:30;22/06/2017 22:00;92
22/06/2017 22:00;22/06/2017 22:30;101
22/06/2017 22:30;22/06/2017 23:00;104
22/06/2017 23:00;22/06/2017 23:30;104
22/06/2017 23:30;23/06/2017 0:00;109
23/06/2017 0:00;23/06/2017 0:30;107
23/06/2017 0:30;23/06/2017 1:00;107
23/06/2017 1:00;23/06/2017 1:30;110
23/06/2017 1:30;23/06/2017 2:00;106
23/06/2017 2:00;23/06/2017 2:30;101
23/06/2017 2:30;23/06/2017 3:00;103
23/06/2017 3:00;23/06/2017 3:30;105
23/06/2017 3:30;23/06/2017 4:00;111
23/06/2017 4:00;23/06/2017 4:30;111
23/06/2017 4:30;23/06/2017 5:00;108
23/06/2017 5:00;23/06/2017 5:30;107
23/06/2017 5:30;23/06/2017 6:00;103
23/06/2017 6:00;23/06/2017 6:30;101
23/06/2017 6:30;23/06/2017 7:00;103
23/06/2017 7:00;23/06/2017 7:30;109
23/06/2017 7:30;23/06/2017 8:00;110
23/06/2017 8:00;23/06/2017 8:30;105
23/06/2017 8:30;23/06/2017 9:00;108
23/06/2017 9:00;23/06/2017 9:30;104
23/06/2017 9:30;23/06/2017 10:00;109
23/06/2017 10:00;23/06/2017 10:30;109
23/06/2017 10:30;23/06/2017 11:00;112
23/06/2017 11:00;23/06/2017 11:30;115
23/06/2017 11:30;23/06/2017 12:00;124
23/06/2017 12:00;23/06/2017 12:30;133
23/06/2017 12:30;23/06/2017 13:00;141
23/06/2017 13:00;23/06/2017 13:30;147
23/06/2017 13:30;23/06/2017 14:00;151
23/06/2017 14:00;23/06/2017 14:30;158
23/06/2017 14:30;23/06/2017 15:00;157
23/06/2017 15:00;23/06/2017 15:30;155
23/06/2017 15:30;23/06/2017 16:00;151
23/06/2017 16:00;23/06/2017 16:30;150
23/06/2017 16:30;23/06/2017 17:00;146
23/06/2017 17:00;23/06/2017 17:30;141
23/06/2017 17:30;23/06/2017 18:00;140
23/06/2017 18:00;23/06/2017 18:30;137
23/06/2017 18:30;23/06/2017 19:00;132
23/06/2017 19:00;23/06/2017 19:30;124
23/06/2017 19:30;23/06/2017 20:00;118
23/06/2017 20:00;23/06/2017 20:30;97
23/06/2017 20:30;23/06/2017 21:00;84
23/06/2017 21:00;23/06/2017 21:30;80
23/06/2017 21:30;23/06/2017 22:00;79
23/06/2017 22:00;23/06/2017 22:30;85
23/06/2017 22:30;23/06/2017 23:00;91
23/06/2017 23:00;23/06/2017 23:30;95
23/06/2017 23:30;24/06/2017 0:00;95
24/06/2017 0:00;24/06/2017 0:30;101
24/06/2017 0:30;24/06/2017 1:00;106
24/06/2017 1:00;24/06/2017 1:30;100
24/06/2017 1:30;24/06/2017 2:00;103
24/06/2017 2:00;24/06/2017 2:30;101
24/06/2017 2:30;24/06/2017 3:00;105
24/06/2017 3:00;24/06/2017 3:30;108
24/06/2017 3:30;24/06/2017 4:00;109
24/06/2017 4:00;24/06/2017 4:30;107
24/06/2017 4:30;24/06/2017 5:00;105
24/06/2017 5:00;24/06/2017 5:30;103
24/06/2017 5:30;24/06/2017 6:00;102
24/06/2017 6:00;24/06/2017 6:30;99
24/06/2017 6:30;24/06/2017 7:00;93
24/06/2017 7:00;24/06/2017 7:30;90
24/06/2017 7:30;24/06/2017 8:00;92
24/06/2017 8:00;24/06/2017 8:30;96
24/06/2017 8:30;24/06/2017 9:00;95
24/06/2017 9:00;24/06/2017 9:30;99
24/06/2017 9:30;24/06/2017 10:00;96
24/06/2017 10:00;24/06/2017 10:30;98
24/06/2017 10:30;24/06/2017 11:00;101
24/06/2017 11:00;24/06/2017 11:30;106
24/06/2017 11:30;24/06/2017 12:00;113
24/06/2017 12:00;24/06/2017 12:30;116
24/06/2017 12:30;24/06/2017 13:00;123
24/06/2017 13:00;24/06/2017 13:30;129
24/06/2017 13:30;24/06/2017 14:00;126
24/06/2017 14:00;24/06/2017 14:30;129
24/06/2017 14:30;24/06/2017 15:00;121
24/06/2017 15:00;24/06/2017 15:30;118
24/06/2017 15:30;24/06/2017 16:00;125
24/06/2017 16:00;24/06/2017 16:30;125
24/06/2017 16:30;24/06/2017 17:00;124
24/06/2017 17:00;24/06/2017 17:30;123
24/06/2017 17:30;24/06/2017 18:00;118
24/06/2017 18:00;24/06/2017 18:30;115
24/06/2017 18:30;24/06/2017 19:00;106
24/06/2017 19:00;24/06/2017 19:30;98
24/06/2017 19:30;24/06/2017 20:00;100
24/06/2017 20:00;24/06/2017 20:30;91
24/06/2017 20:30;24/06/2017 21:00;82
24/06/2017 21:00;24/06/2017 21:30;75
24/06/2017 21:30;24/06/2017 22:00;69
24/06/2017 22:00;24/06/2017 22:30;70
24/06/2017 22:30;24/06/2017 23:00;74
24/06/2017 23:00;24/06/2017 23:30;77
24/06/2017 23:30;25/06/2017 0:00;75
25/06/2017 0:00;25/06/2017 0:30;68
25/06/2017 0:30;25/06/2017 1:00;69
25/06/2017 1:00;25/06/2017 1:30;70
25/06/2017 1:30;25/06/2017 2:00;62
25/06/2017 2:00;25/06/2017 2:30;62
25/06/2017 2:30;25/06/2017 3:00;72
25/06/2017 3:00;25/06/2017 3:30;69
25/06/2017 3:30;25/06/2017 4:00;63
25/06/2017 4:00;25/06/2017 4:30;64
25/06/2017 4:30;25/06/2017 5:00;66
25/06/2017 5:00;25/06/2017 5:30;67
25/06/2017 5:30;25/06/2017 6:00;62
25/06/2017 6:00;25/06/2017 6:30;57
25/06/2017 6:30;25/06/2017 7:00;54
25/06/2017 7:00;25/06/2017 7:30;53
25/06/2017 7:30;25/06/2017 8:00;53
25/06/2017 8:00;25/06/2017 8:30;49
25/06/2017 8:30;25/06/2017 9:00;57
25/06/2017 9:00;25/06/2017 9:30;60
25/06/2017 9:30;25/06/2017 10:00;61
25/06/2017 10:00;25/06/2017 10:30;59
25/06/2017 10:30;25/06/2017 11:00;54
25/06/2017 11:00;25/06/2017 11:30;55
25/06/2017 11:30;25/06/2017 12:00;56
25/06/2017 12:00;25/06/2017 12:30;61
25/06/2017 12:30;25/06/2017 13:00;68
25/06/2017 13:00;25/06/2017 13:30;65
25/06/2017 13:30;25/06/2017 14:00;68
25/06/2017 14:00;25/06/2017 14:30;71
25/06/2017 14:30;25/06/2017 15:00;79
25/06/2017 15:00;25/06/2017 15:30;84
25/06/2017 15:30;25/06/2017 16:00;80
25/06/2017 16:00;25/06/2017 16:30;90
25/06/2017 16:30;25/06/2017 17:00;90
25/06/2017 17:00;25/06/2017 17:30;97
25/06/2017 17:30;25/06/2017 18:00;104
25/06/2017 18:00;25/06/2017 18:30;95
25/06/2017 18:30;25/06/2017 19:00;96
25/06/2017 19:00;25/06/2017 19:30;92
25/06/2017 19:30;25/06/2017 20:00;90
25/06/2017 20:00;25/06/2017 20:30;85
25/06/2017 20:30;25/06/2017 21:00;79
25/06/2017 21:00;25/06/2017 21:30;72
25/06/2017 21:30;25/06/2017 22:00;61
25/06/2017 22:00;25/06/2017 22:30;55
25/06/2017 22:30;25/06/2017 23:00;60
25/06/2017 23:00;25/06/2017 23:30;66
25/06/2017 23:30;26/06/2017 0:00;66
26/06/2017 0:00;26/06/2017 0:30;70
26/06/2017 0:30;26/06/2017 1:00;69
26/06/2017 1:00;26/06/2017 1:30;77
26/06/2017 1:30;26/06/2017 2:00;83
26/06/2017 2:00;26/06/2017 2:30;96
26/06/2017 2:30;26/06/2017 3:00;90
26/06/2017 3:00;26/06/2017 3:30;90
26/06/2017 3:30;26/06/2017 4:00;96
26/06/2017 4:00;26/06/2017 4:30;90
26/06/2017 4:30;26/06/2017 5:00;97
26/06/2017 5:00;26/06/2017 5:30;99
26/06/2017 5:30;26/06/2017 6:00;89
26/06/2017 6:00;26/06/2017 6:30;90
26/06/2017 6:30;26/06/2017 7:00;95
26/06/2017 7:00;26/06/2017 7:30;102
26/06/2017 7:30;26/06/2017 8:00;94
26/06/2017 8:00;26/06/2017 8:30;84
26/06/2017 8:30;26/06/2017 9:00;87
26/06/2017 9:00;26/06/2017 9:30;78
26/06/2017 9:30;26/06/2017 10:00;87
26/06/2017 10:00;26/06/2017 10:30;93
26/06/2017 10:30;26/06/2017 11:00;101
26/06/2017 11:00;26/06/2017 11:30;110
26/06/2017 11:30;26/06/2017 12:00;113
26/06/2017 12:00;26/06/2017 12:30;116
26/06/2017 12:30;26/06/2017 13:00;111
26/06/2017 13:00;26/06/2017 13:30;114
