Start_local;End_local;Ozone
11/07/2018 12:30;11/07/2018 13:00;75
11/07/2018 13:00;11/07/2018 13:30;101
11/07/2018 13:30;11/07/2018 14:00;112
11/07/2018 14:00;11/07/2018 14:30;106
11/07/2018 14:30;11/07/2018 15:00;113
11/07/2018 15:00;11/07/2018 15:30;117
11/07/2018 15:30;11/07/2018 16:00;121
11/07/2018 16:00;11/07/2018 16:30;123
11/07/2018 16:30;11/07/2018 17:00;122
11/07/2018 17:00;11/07/2018 17:30;117
11/07/2018 17:30;11/07/2018 18:00;116
11/07/2018 18:00;11/07/2018 18:30;111
11/07/2018 18:30;11/07/2018 19:00;111
11/07/2018 19:00;11/07/2018 19:30;116
11/07/2018 19:30;11/07/2018 20:00;120
11/07/2018 20:00;11/07/2018 20:30;117
11/07/2018 20:30;11/07/2018 21:00;121
11/07/2018 21:00;11/07/2018 21:30;111
11/07/2018 21:30;11/07/2018 22:00;104
11/07/2018 22:00;11/07/2018 22:30;101
11/07/2018 22:30;11/07/2018 23:00;86
11/07/2018 23:00;11/07/2018 23:30;69
11/07/2018 23:30;12/07/2018 0:00;70
12/07/2018 0:00;12/07/2018 0:30;64
12/07/2018 0:30;12/07/2018 1:00;59
12/07/2018 1:00;12/07/2018 1:30;61
12/07/2018 1:30;12/07/2018 2:00;55
12/07/2018 2:00;12/07/2018 2:30;52
12/07/2018 2:30;12/07/2018 3:00;55
12/07/2018 3:00;12/07/2018 3:30;58
12/07/2018 3:30;12/07/2018 4:00;51
12/07/2018 4:00;12/07/2018 4:30;40
12/07/2018 4:30;12/07/2018 5:00;43
12/07/2018 5:00;12/07/2018 5:30;46
12/07/2018 5:30;12/07/2018 6:00;35
12/07/2018 6:00;12/07/2018 6:30;32
12/07/2018 6:30;12/07/2018 7:00;32
12/07/2018 7:00;12/07/2018 7:30;32
12/07/2018 7:30;12/07/2018 8:00;44
12/07/2018 8:00;12/07/2018 8:30;67
12/07/2018 8:30;12/07/2018 9:00;68
12/07/2018 9:00;12/07/2018 9:30;78
12/07/2018 9:30;12/07/2018 10:00;110
12/07/2018 10:00;12/07/2018 10:30;121
12/07/2018 10:30;12/07/2018 11:00;123
12/07/2018 11:00;12/07/2018 11:30;124
12/07/2018 11:30;12/07/2018 12:00;133
12/07/2018 12:00;12/07/2018 12:30;133
12/07/2018 12:30;12/07/2018 13:00;127
12/07/2018 13:00;12/07/2018 13:30;112
12/07/2018 13:30;12/07/2018 14:00;120
12/07/2018 14:00;12/07/2018 14:30;124
12/07/2018 14:30;12/07/2018 15:00;127
12/07/2018 15:00;12/07/2018 15:30;125
12/07/2018 15:30;12/07/2018 16:00;128
12/07/2018 16:00;12/07/2018 16:30;134
12/07/2018 16:30;12/07/2018 17:00;139
12/07/2018 17:00;12/07/2018 17:30;143
12/07/2018 17:30;12/07/2018 18:00;140
12/07/2018 18:00;12/07/2018 18:30;150
12/07/2018 18:30;12/07/2018 19:00;145
12/07/2018 19:00;12/07/2018 19:30;150
12/07/2018 19:30;12/07/2018 20:00;146
12/07/2018 20:00;12/07/2018 20:30;142
12/07/2018 20:30;12/07/2018 21:00;141
12/07/2018 21:00;12/07/2018 21:30;157
12/07/2018 21:30;12/07/2018 22:00;162
12/07/2018 22:00;12/07/2018 22:30;130
12/07/2018 22:30;12/07/2018 23:00;98
12/07/2018 23:00;12/07/2018 23:30;73
12/07/2018 23:30;13/07/2018 0:00;62
13/07/2018 0:00;13/07/2018 0:30;40
13/07/2018 0:30;13/07/2018 1:00;43
13/07/2018 1:00;13/07/2018 1:30;36
13/07/2018 1:30;13/07/2018 2:00;29
13/07/2018 2:00;13/07/2018 2:30;29
13/07/2018 2:30;13/07/2018 3:00;25
13/07/2018 3:00;13/07/2018 3:30;23
13/07/2018 3:30;13/07/2018 4:00;21
13/07/2018 4:00;13/07/2018 4:30;23
13/07/2018 4:30;13/07/2018 5:00;24
13/07/2018 5:00;13/07/2018 5:30;22
13/07/2018 5:30;13/07/2018 6:00;22
13/07/2018 6:00;13/07/2018 6:30;22
13/07/2018 6:30;13/07/2018 7:00;22
13/07/2018 7:00;13/07/2018 7:30;22
13/07/2018 7:30;13/07/2018 8:00;31
13/07/2018 8:00;13/07/2018 8:30;42
13/07/2018 8:30;13/07/2018 9:00;68
13/07/2018 9:00;13/07/2018 9:30;77
13/07/2018 9:30;13/07/2018 10:00;81
13/07/2018 10:00;13/07/2018 10:30;97
13/07/2018 10:30;13/07/2018 11:00;116
13/07/2018 11:00;13/07/2018 11:30;123
13/07/2018 11:30;13/07/2018 12:00;117
13/07/2018 12:00;13/07/2018 12:30;115
13/07/2018 12:30;13/07/2018 13:00;122
13/07/2018 13:00;13/07/2018 13:30;131
13/07/2018 13:30;13/07/2018 14:00;122
