Start_local;End_local;Ozone
02/07/2018 10:00;02/07/2018 10:30;73
02/07/2018 10:30;02/07/2018 11:00;83
02/07/2018 11:00;02/07/2018 11:30;91
02/07/2018 11:30;02/07/2018 12:00;96
02/07/2018 12:00;02/07/2018 12:30;102
02/07/2018 12:30;02/07/2018 13:00;107
02/07/2018 13:00;02/07/2018 13:30;106
02/07/2018 13:30;02/07/2018 14:00;113
02/07/2018 14:00;02/07/2018 14:30;115
02/07/2018 14:30;02/07/2018 15:00;119
02/07/2018 15:00;02/07/2018 15:30;120
02/07/2018 15:30;02/07/2018 16:00;120
02/07/2018 16:00;02/07/2018 16:30;116
02/07/2018 16:30;02/07/2018 17:00;115
02/07/2018 17:00;02/07/2018 17:30;106
02/07/2018 17:30;02/07/2018 18:00;99
02/07/2018 18:00;02/07/2018 18:30;100
02/07/2018 18:30;02/07/2018 19:00;107
02/07/2018 19:00;02/07/2018 19:30;105
02/07/2018 19:30;02/07/2018 20:00;98
02/07/2018 20:00;02/07/2018 20:30;93
02/07/2018 20:30;02/07/2018 21:00;91
02/07/2018 21:00;02/07/2018 21:30;89
02/07/2018 21:30;02/07/2018 22:00;77
02/07/2018 22:00;02/07/2018 22:30;69
02/07/2018 22:30;02/07/2018 23:00;67
02/07/2018 23:00;02/07/2018 23:30;65
02/07/2018 23:30;03/07/2018 0:00;61
03/07/2018 0:00;03/07/2018 0:30;62
03/07/2018 0:30;03/07/2018 1:00;60
03/07/2018 1:00;03/07/2018 1:30;57
03/07/2018 1:30;03/07/2018 2:00;52
03/07/2018 2:00;03/07/2018 2:30;53
03/07/2018 2:30;03/07/2018 3:00;49
03/07/2018 3:00;03/07/2018 3:30;49
03/07/2018 3:30;03/07/2018 4:00;47
03/07/2018 4:00;03/07/2018 4:30;45
03/07/2018 4:30;03/07/2018 5:00;45
03/07/2018 5:00;03/07/2018 5:30;46
03/07/2018 5:30;03/07/2018 6:00;45
03/07/2018 6:00;03/07/2018 6:30;46
03/07/2018 6:30;03/07/2018 7:00;46
03/07/2018 7:00;03/07/2018 7:30;47
03/07/2018 7:30;03/07/2018 8:00;54
03/07/2018 8:00;03/07/2018 8:30;59
03/07/2018 8:30;03/07/2018 9:00;66
03/07/2018 9:00;03/07/2018 9:30;72
03/07/2018 9:30;03/07/2018 10:00;86
03/07/2018 10:00;03/07/2018 10:30;96
03/07/2018 10:30;03/07/2018 11:00;101
03/07/2018 11:00;03/07/2018 11:30;107
03/07/2018 11:30;03/07/2018 12:00;110
03/07/2018 12:00;03/07/2018 12:30;123
03/07/2018 12:30;03/07/2018 13:00;123
03/07/2018 13:00;03/07/2018 13:30;126
03/07/2018 13:30;03/07/2018 14:00;137
03/07/2018 14:00;03/07/2018 14:30;142
03/07/2018 14:30;03/07/2018 15:00;144
03/07/2018 15:00;03/07/2018 15:30;145
03/07/2018 15:30;03/07/2018 16:00;144
03/07/2018 16:00;03/07/2018 16:30;140
03/07/2018 16:30;03/07/2018 17:00;129
03/07/2018 17:00;03/07/2018 17:30;115
03/07/2018 17:30;03/07/2018 18:00;111
03/07/2018 18:00;03/07/2018 18:30;108
03/07/2018 18:30;03/07/2018 19:00;112
03/07/2018 19:00;03/07/2018 19:30;108
03/07/2018 19:30;03/07/2018 20:00;105
03/07/2018 20:00;03/07/2018 20:30;96
03/07/2018 20:30;03/07/2018 21:00;86
03/07/2018 21:00;03/07/2018 21:30;78
03/07/2018 21:30;03/07/2018 22:00;70
03/07/2018 22:00;03/07/2018 22:30;64
03/07/2018 22:30;03/07/2018 23:00;63
03/07/2018 23:00;03/07/2018 23:30;59
03/07/2018 23:30;04/07/2018 0:00;60
04/07/2018 0:00;04/07/2018 0:30;63
04/07/2018 0:30;04/07/2018 1:00;68
04/07/2018 1:00;04/07/2018 1:30;70
04/07/2018 1:30;04/07/2018 2:00;65
04/07/2018 2:00;04/07/2018 2:30;66
04/07/2018 2:30;04/07/2018 3:00;71
04/07/2018 3:00;04/07/2018 3:30;70
04/07/2018 3:30;04/07/2018 4:00;74
04/07/2018 4:00;04/07/2018 4:30;66
04/07/2018 4:30;04/07/2018 5:00;67
04/07/2018 5:00;04/07/2018 5:30;67
04/07/2018 5:30;04/07/2018 6:00;63
04/07/2018 6:00;04/07/2018 6:30;58
04/07/2018 6:30;04/07/2018 7:00;59
04/07/2018 7:00;04/07/2018 7:30;59
04/07/2018 7:30;04/07/2018 8:00;63
04/07/2018 8:00;04/07/2018 8:30;67
04/07/2018 8:30;04/07/2018 9:00;73
04/07/2018 9:00;04/07/2018 9:30;78
04/07/2018 9:30;04/07/2018 10:00;97
04/07/2018 10:00;04/07/2018 10:30;118
04/07/2018 10:30;04/07/2018 11:00;125
04/07/2018 11:00;04/07/2018 11:30;136
04/07/2018 11:30;04/07/2018 12:00;128
04/07/2018 12:00;04/07/2018 12:30;122
04/07/2018 12:30;04/07/2018 13:00;126
04/07/2018 13:00;04/07/2018 13:30;135
04/07/2018 13:30;04/07/2018 14:00;135
04/07/2018 14:00;04/07/2018 14:30;134
04/07/2018 14:30;04/07/2018 15:00;139
04/07/2018 15:00;04/07/2018 15:30;138
04/07/2018 15:30;04/07/2018 16:00;137
04/07/2018 16:00;04/07/2018 16:30;140
04/07/2018 16:30;04/07/2018 17:00;135
04/07/2018 17:00;04/07/2018 17:30;126
04/07/2018 17:30;04/07/2018 18:00;124
04/07/2018 18:00;04/07/2018 18:30;119
