Start_local;End_local;Ozone
05/07/2018 16:30;05/07/2018 17:00;106
05/07/2018 17:00;05/07/2018 17:30;105
05/07/2018 17:30;05/07/2018 18:00;94
05/07/2018 18:00;05/07/2018 18:30;92
05/07/2018 18:30;05/07/2018 19:00;88
05/07/2018 19:00;05/07/2018 19:30;79
05/07/2018 19:30;05/07/2018 20:00;69
05/07/2018 20:00;05/07/2018 20:30;68
05/07/2018 20:30;05/07/2018 21:00;68
05/07/2018 21:00;05/07/2018 21:30;66
05/07/2018 21:30;05/07/2018 22:00;66
05/07/2018 22:00;05/07/2018 22:30;71
05/07/2018 22:30;05/07/2018 23:00;67
05/07/2018 23:00;05/07/2018 23:30;61
05/07/2018 23:30;06/07/2018 0:00;45
06/07/2018 0:00;06/07/2018 0:30;58
06/07/2018 0:30;06/07/2018 1:00;68
06/07/2018 1:00;06/07/2018 1:30;58
06/07/2018 1:30;06/07/2018 2:00;50
06/07/2018 2:00;06/07/2018 2:30;63
06/07/2018 2:30;06/07/2018 3:00;68
06/07/2018 3:00;06/07/2018 3:30;64
06/07/2018 3:30;06/07/2018 4:00;99
06/07/2018 4:00;06/07/2018 4:30;92
06/07/2018 4:30;06/07/2018 5:00;77
06/07/2018 5:00;06/07/2018 5:30;61
06/07/2018 5:30;06/07/2018 6:00;62
06/07/2018 6:00;06/07/2018 6:30;63
06/07/2018 6:30;06/07/2018 7:00;64
06/07/2018 7:00;06/07/2018 7:30;61
06/07/2018 7:30;06/07/2018 8:00;73
06/07/2018 8:00;06/07/2018 8:30;94
06/07/2018 8:30;06/07/2018 9:00;89
06/07/2018 9:00;06/07/2018 9:30;113
06/07/2018 9:30;06/07/2018 10:00;96
06/07/2018 10:00;06/07/2018 10:30;93
06/07/2018 10:30;06/07/2018 11:00;110
06/07/2018 11:00;06/07/2018 11:30;120
06/07/2018 11:30;06/07/2018 12:00;123
06/07/2018 12:00;06/07/2018 12:30;122
06/07/2018 12:30;06/07/2018 13:00;122
06/07/2018 13:00;06/07/2018 13:30;124
06/07/2018 13:30;06/07/2018 14:00;125
06/07/2018 14:00;06/07/2018 14:30;128
06/07/2018 14:30;06/07/2018 15:00;130
06/07/2018 15:00;06/07/2018 15:30;132
06/07/2018 15:30;06/07/2018 16:00;
06/07/2018 16:00;06/07/2018 16:30;144
06/07/2018 16:30;06/07/2018 17:00;133
06/07/2018 17:00;06/07/2018 17:30;129
06/07/2018 17:30;06/07/2018 18:00;131
06/07/2018 18:00;06/07/2018 18:30;120
06/07/2018 18:30;06/07/2018 19:00;119
06/07/2018 19:00;06/07/2018 19:30;120
06/07/2018 19:30;06/07/2018 20:00;114
06/07/2018 20:00;06/07/2018 20:30;118
06/07/2018 20:30;06/07/2018 21:00;
06/07/2018 21:00;06/07/2018 21:30;
06/07/2018 21:30;06/07/2018 22:00;
06/07/2018 22:00;06/07/2018 22:30;
06/07/2018 22:30;06/07/2018 23:00;
06/07/2018 23:00;06/07/2018 23:30;
06/07/2018 23:30;07/07/2018 0:00;68
07/07/2018 0:00;07/07/2018 0:30;69
07/07/2018 0:30;07/07/2018 1:00;70
07/07/2018 1:00;07/07/2018 1:30;68
07/07/2018 1:30;07/07/2018 2:00;75
07/07/2018 2:00;07/07/2018 2:30;71
07/07/2018 2:30;07/07/2018 3:00;67
07/07/2018 3:00;07/07/2018 3:30;69
07/07/2018 3:30;07/07/2018 4:00;69
07/07/2018 4:00;07/07/2018 4:30;72
07/07/2018 4:30;07/07/2018 5:00;70
07/07/2018 5:00;07/07/2018 5:30;70
07/07/2018 5:30;07/07/2018 6:00;68
07/07/2018 6:00;07/07/2018 6:30;65
07/07/2018 6:30;07/07/2018 7:00;67
07/07/2018 7:00;07/07/2018 7:30;70
07/07/2018 7:30;07/07/2018 8:00;105
07/07/2018 8:00;07/07/2018 8:30;116
07/07/2018 8:30;07/07/2018 9:00;120
07/07/2018 9:00;07/07/2018 9:30;126
07/07/2018 9:30;07/07/2018 10:00;131
07/07/2018 10:00;07/07/2018 10:30;133
07/07/2018 10:30;07/07/2018 11:00;134
07/07/2018 11:00;07/07/2018 11:30;116
07/07/2018 11:30;07/07/2018 12:00;109
07/07/2018 12:00;07/07/2018 12:30;130
07/07/2018 12:30;07/07/2018 13:00;127
07/07/2018 13:00;07/07/2018 13:30;
07/07/2018 13:30;07/07/2018 14:00;137
07/07/2018 14:00;07/07/2018 14:30;138
07/07/2018 14:30;07/07/2018 15:00;137
07/07/2018 15:00;07/07/2018 15:30;138
07/07/2018 15:30;07/07/2018 16:00;
07/07/2018 16:00;07/07/2018 16:30;
07/07/2018 16:30;07/07/2018 17:00;140
07/07/2018 17:00;07/07/2018 17:30;118
07/07/2018 17:30;07/07/2018 18:00;116
07/07/2018 18:00;07/07/2018 18:30;109
07/07/2018 18:30;07/07/2018 19:00;108
07/07/2018 19:00;07/07/2018 19:30;100
07/07/2018 19:30;07/07/2018 20:00;100
07/07/2018 20:00;07/07/2018 20:30;
07/07/2018 20:30;07/07/2018 21:00;89
07/07/2018 21:00;07/07/2018 21:30;89
07/07/2018 21:30;07/07/2018 22:00;87
07/07/2018 22:00;07/07/2018 22:30;
07/07/2018 22:30;07/07/2018 23:00;
07/07/2018 23:00;07/07/2018 23:30;
07/07/2018 23:30;08/07/2018 0:00;83
08/07/2018 0:00;08/07/2018 0:30;89
08/07/2018 0:30;08/07/2018 1:00;89
08/07/2018 1:00;08/07/2018 1:30;80
08/07/2018 1:30;08/07/2018 2:00;78
08/07/2018 2:00;08/07/2018 2:30;76
08/07/2018 2:30;08/07/2018 3:00;77
08/07/2018 3:00;08/07/2018 3:30;81
08/07/2018 3:30;08/07/2018 4:00;85
08/07/2018 4:00;08/07/2018 4:30;79
08/07/2018 4:30;08/07/2018 5:00;72
08/07/2018 5:00;08/07/2018 5:30;71
