Start_local;End_local;Ozone
21/06/2018 13:30;21/06/2018 14:00;99
21/06/2018 14:00;21/06/2018 14:30;119
21/06/2018 14:30;21/06/2018 15:00;123
21/06/2018 15:00;21/06/2018 15:30;123
21/06/2018 15:30;21/06/2018 16:00;126
21/06/2018 16:00;21/06/2018 16:30;123
21/06/2018 16:30;21/06/2018 17:00;122
21/06/2018 17:00;21/06/2018 17:30;117
21/06/2018 17:30;21/06/2018 18:00;118
21/06/2018 18:00;21/06/2018 18:30;120
21/06/2018 18:30;21/06/2018 19:00;119
21/06/2018 19:00;21/06/2018 19:30;116
21/06/2018 19:30;21/06/2018 20:00;108
21/06/2018 20:00;21/06/2018 20:30;99
21/06/2018 20:30;21/06/2018 21:00;83
21/06/2018 21:00;21/06/2018 21:30;71
21/06/2018 21:30;21/06/2018 22:00;64
21/06/2018 22:00;21/06/2018 22:30;58
21/06/2018 22:30;21/06/2018 23:00;58
21/06/2018 23:00;21/06/2018 23:30;55
21/06/2018 23:30;22/06/2018 0:00;55
22/06/2018 0:00;22/06/2018 0:30;52
22/06/2018 0:30;22/06/2018 1:00;49
22/06/2018 1:00;22/06/2018 1:30;53
22/06/2018 1:30;22/06/2018 2:00;56
22/06/2018 2:00;22/06/2018 2:30;49
22/06/2018 2:30;22/06/2018 3:00;45
22/06/2018 3:00;22/06/2018 3:30;46
22/06/2018 3:30;22/06/2018 4:00;46
22/06/2018 4:00;22/06/2018 4:30;48
22/06/2018 4:30;22/06/2018 5:00;46
22/06/2018 5:00;22/06/2018 5:30;44
22/06/2018 5:30;22/06/2018 6:00;45
22/06/2018 6:00;22/06/2018 6:30;39
22/06/2018 6:30;22/06/2018 7:00;38
22/06/2018 7:00;22/06/2018 7:30;43
22/06/2018 7:30;22/06/2018 8:00;50
22/06/2018 8:00;22/06/2018 8:30;53
22/06/2018 8:30;22/06/2018 9:00;49
22/06/2018 9:00;22/06/2018 9:30;56
22/06/2018 9:30;22/06/2018 10:00;61
22/06/2018 10:00;22/06/2018 10:30;66
22/06/2018 10:30;22/06/2018 11:00;73
22/06/2018 11:00;22/06/2018 11:30;92
22/06/2018 11:30;22/06/2018 12:00;105
22/06/2018 12:00;22/06/2018 12:30;110
22/06/2018 12:30;22/06/2018 13:00;114
22/06/2018 13:00;22/06/2018 13:30;117
22/06/2018 13:30;22/06/2018 14:00;119
22/06/2018 14:00;22/06/2018 14:30;108
22/06/2018 14:30;22/06/2018 15:00;109
22/06/2018 15:00;22/06/2018 15:30;106
22/06/2018 15:30;22/06/2018 16:00;104
22/06/2018 16:00;22/06/2018 16:30;105
22/06/2018 16:30;22/06/2018 17:00;105
22/06/2018 17:00;22/06/2018 17:30;104
22/06/2018 17:30;22/06/2018 18:00;103
22/06/2018 18:00;22/06/2018 18:30;101
22/06/2018 18:30;22/06/2018 19:00;97
22/06/2018 19:00;22/06/2018 19:30;94
22/06/2018 19:30;22/06/2018 20:00;90
22/06/2018 20:00;22/06/2018 20:30;88
22/06/2018 20:30;22/06/2018 21:00;87
22/06/2018 21:00;22/06/2018 21:30;81
22/06/2018 21:30;22/06/2018 22:00;76
22/06/2018 22:00;22/06/2018 22:30;72
22/06/2018 22:30;22/06/2018 23:00;69
22/06/2018 23:00;22/06/2018 23:30;68
22/06/2018 23:30;23/06/2018 0:00;65
23/06/2018 0:00;23/06/2018 0:30;64
23/06/2018 0:30;23/06/2018 1:00;59
23/06/2018 1:00;23/06/2018 1:30;59
23/06/2018 1:30;23/06/2018 2:00;58
23/06/2018 2:00;23/06/2018 2:30;55
23/06/2018 2:30;23/06/2018 3:00;63
23/06/2018 3:00;23/06/2018 3:30;65
23/06/2018 3:30;23/06/2018 4:00;51
23/06/2018 4:00;23/06/2018 4:30;78
23/06/2018 4:30;23/06/2018 5:00;59
23/06/2018 5:00;23/06/2018 5:30;46
23/06/2018 5:30;23/06/2018 6:00;41
23/06/2018 6:00;23/06/2018 6:30;41
23/06/2018 6:30;23/06/2018 7:00;39
23/06/2018 7:00;23/06/2018 7:30;41
23/06/2018 7:30;23/06/2018 8:00;47
23/06/2018 8:00;23/06/2018 8:30;58
23/06/2018 8:30;23/06/2018 9:00;63
23/06/2018 9:00;23/06/2018 9:30;71
23/06/2018 9:30;23/06/2018 10:00;89
23/06/2018 10:00;23/06/2018 10:30;93
23/06/2018 10:30;23/06/2018 11:00;90
23/06/2018 11:00;23/06/2018 11:30;87
23/06/2018 11:30;23/06/2018 12:00;84
23/06/2018 12:00;23/06/2018 12:30;86
23/06/2018 12:30;23/06/2018 13:00;91
23/06/2018 13:00;23/06/2018 13:30;92
23/06/2018 13:30;23/06/2018 14:00;92
23/06/2018 14:00;23/06/2018 14:30;97
23/06/2018 14:30;23/06/2018 15:00;104
23/06/2018 15:00;23/06/2018 15:30;106
23/06/2018 15:30;23/06/2018 16:00;108
23/06/2018 16:00;23/06/2018 16:30;108
23/06/2018 16:30;23/06/2018 17:00;104
23/06/2018 17:00;23/06/2018 17:30;104
23/06/2018 17:30;23/06/2018 18:00;103
23/06/2018 18:00;23/06/2018 18:30;102
23/06/2018 18:30;23/06/2018 19:00;100
23/06/2018 19:00;23/06/2018 19:30;99
23/06/2018 19:30;23/06/2018 20:00;92
23/06/2018 20:00;23/06/2018 20:30;88
23/06/2018 20:30;23/06/2018 21:00;75
23/06/2018 21:00;23/06/2018 21:30;72
23/06/2018 21:30;23/06/2018 22:00;68
23/06/2018 22:00;23/06/2018 22:30;71
23/06/2018 22:30;23/06/2018 23:00;68
23/06/2018 23:00;23/06/2018 23:30;59
23/06/2018 23:30;24/06/2018 0:00;52
24/06/2018 0:00;24/06/2018 0:30;50
24/06/2018 0:30;24/06/2018 1:00;49
24/06/2018 1:00;24/06/2018 1:30;50
24/06/2018 1:30;24/06/2018 2:00;45
24/06/2018 2:00;24/06/2018 2:30;44
24/06/2018 2:30;24/06/2018 3:00;44
24/06/2018 3:00;24/06/2018 3:30;45
24/06/2018 3:30;24/06/2018 4:00;44
24/06/2018 4:00;24/06/2018 4:30;43
24/06/2018 4:30;24/06/2018 5:00;49
24/06/2018 5:00;24/06/2018 5:30;47
24/06/2018 5:30;24/06/2018 6:00;47
24/06/2018 6:00;24/06/2018 6:30;48
24/06/2018 6:30;24/06/2018 7:00;46
24/06/2018 7:00;24/06/2018 7:30;45
24/06/2018 7:30;24/06/2018 8:00;47
24/06/2018 8:00;24/06/2018 8:30;57
24/06/2018 8:30;24/06/2018 9:00;56
24/06/2018 9:00;24/06/2018 9:30;61
24/06/2018 9:30;24/06/2018 10:00;74
24/06/2018 10:00;24/06/2018 10:30;84
24/06/2018 10:30;24/06/2018 11:00;91
24/06/2018 11:00;24/06/2018 11:30;93
24/06/2018 11:30;24/06/2018 12:00;94
24/06/2018 12:00;24/06/2018 12:30;98
24/06/2018 12:30;24/06/2018 13:00;98
24/06/2018 13:00;24/06/2018 13:30;98
24/06/2018 13:30;24/06/2018 14:00;100
24/06/2018 14:00;24/06/2018 14:30;101
24/06/2018 14:30;24/06/2018 15:00;105
24/06/2018 15:00;24/06/2018 15:30;108
24/06/2018 15:30;24/06/2018 16:00;107
24/06/2018 16:00;24/06/2018 16:30;108
24/06/2018 16:30;24/06/2018 17:00;107
24/06/2018 17:00;24/06/2018 17:30;109
24/06/2018 17:30;24/06/2018 18:00;109
24/06/2018 18:00;24/06/2018 18:30;103
24/06/2018 18:30;24/06/2018 19:00;96
24/06/2018 19:00;24/06/2018 19:30;99
24/06/2018 19:30;24/06/2018 20:00;94
24/06/2018 20:00;24/06/2018 20:30;91
24/06/2018 20:30;24/06/2018 21:00;85
