Start_local;End_local;Ozone
12/07/2018 10:30;12/07/2018 11:00;68
12/07/2018 11:00;12/07/2018 11:30;88
12/07/2018 11:30;12/07/2018 12:00;102
12/07/2018 12:00;12/07/2018 12:30;110
12/07/2018 12:30;12/07/2018 13:00;121
12/07/2018 13:00;12/07/2018 13:30;124
12/07/2018 13:30;12/07/2018 14:00;132
12/07/2018 14:00;12/07/2018 14:30;126
12/07/2018 14:30;12/07/2018 15:00;105
12/07/2018 15:00;12/07/2018 15:30;97
12/07/2018 15:30;12/07/2018 16:00;102
12/07/2018 16:00;12/07/2018 16:30;104
12/07/2018 16:30;12/07/2018 17:00;104
12/07/2018 17:00;12/07/2018 17:30;107
12/07/2018 17:30;12/07/2018 18:00;114
12/07/2018 18:00;12/07/2018 18:30;119
12/07/2018 18:30;12/07/2018 19:00;124
12/07/2018 19:00;12/07/2018 19:30;110
12/07/2018 19:30;12/07/2018 20:00;101
12/07/2018 20:00;12/07/2018 20:30;101
12/07/2018 20:30;12/07/2018 21:00;94
12/07/2018 21:00;12/07/2018 21:30;79
12/07/2018 21:30;12/07/2018 22:00;64
12/07/2018 22:00;12/07/2018 22:30;45
12/07/2018 22:30;12/07/2018 23:00;50
12/07/2018 23:00;12/07/2018 23:30;47
12/07/2018 23:30;13/07/2018 0:00;42
13/07/2018 0:00;13/07/2018 0:30;38
13/07/2018 0:30;13/07/2018 1:00;30
13/07/2018 1:00;13/07/2018 1:30;26
13/07/2018 1:30;13/07/2018 2:00;30
13/07/2018 2:00;13/07/2018 2:30;26
13/07/2018 2:30;13/07/2018 3:00;20
13/07/2018 3:00;13/07/2018 3:30;25
13/07/2018 3:30;13/07/2018 4:00;29
13/07/2018 4:00;13/07/2018 4:30;27
13/07/2018 4:30;13/07/2018 5:00;17
13/07/2018 5:00;13/07/2018 5:30;17
13/07/2018 5:30;13/07/2018 6:00;16
13/07/2018 6:00;13/07/2018 6:30;18
13/07/2018 6:30;13/07/2018 7:00;19
13/07/2018 7:00;13/07/2018 7:30;20
13/07/2018 7:30;13/07/2018 8:00;25
13/07/2018 8:00;13/07/2018 8:30;26
13/07/2018 8:30;13/07/2018 9:00;44
13/07/2018 9:00;13/07/2018 9:30;59
13/07/2018 9:30;13/07/2018 10:00;64
13/07/2018 10:00;13/07/2018 10:30;81
13/07/2018 10:30;13/07/2018 11:00;83
13/07/2018 11:00;13/07/2018 11:30;96
13/07/2018 11:30;13/07/2018 12:00;119
13/07/2018 12:00;13/07/2018 12:30;135
13/07/2018 12:30;13/07/2018 13:00;147
13/07/2018 13:00;13/07/2018 13:30;141
13/07/2018 13:30;13/07/2018 14:00;130
13/07/2018 14:00;13/07/2018 14:30;114
13/07/2018 14:30;13/07/2018 15:00;104
13/07/2018 15:00;13/07/2018 15:30;101
13/07/2018 15:30;13/07/2018 16:00;99
13/07/2018 16:00;13/07/2018 16:30;100
13/07/2018 16:30;13/07/2018 17:00;99
13/07/2018 17:00;13/07/2018 17:30;98
13/07/2018 17:30;13/07/2018 18:00;108
13/07/2018 18:00;13/07/2018 18:30;110
13/07/2018 18:30;13/07/2018 19:00;107
13/07/2018 19:00;13/07/2018 19:30;103
13/07/2018 19:30;13/07/2018 20:00;96
13/07/2018 20:00;13/07/2018 20:30;86
13/07/2018 20:30;13/07/2018 21:00;83
13/07/2018 21:00;13/07/2018 21:30;77
13/07/2018 21:30;13/07/2018 22:00;68
13/07/2018 22:00;13/07/2018 22:30;52
13/07/2018 22:30;13/07/2018 23:00;49
13/07/2018 23:00;13/07/2018 23:30;46
13/07/2018 23:30;14/07/2018 0:00;47
14/07/2018 0:00;14/07/2018 0:30;35
14/07/2018 0:30;14/07/2018 1:00;33
14/07/2018 1:00;14/07/2018 1:30;35
14/07/2018 1:30;14/07/2018 2:00;34
14/07/2018 2:00;14/07/2018 2:30;33
14/07/2018 2:30;14/07/2018 3:00;28
14/07/2018 3:00;14/07/2018 3:30;28
14/07/2018 3:30;14/07/2018 4:00;28
14/07/2018 4:00;14/07/2018 4:30;24
14/07/2018 4:30;14/07/2018 5:00;22
14/07/2018 5:00;14/07/2018 5:30;24
14/07/2018 5:30;14/07/2018 6:00;22
14/07/2018 6:00;14/07/2018 6:30;19
14/07/2018 6:30;14/07/2018 7:00;22
14/07/2018 7:00;14/07/2018 7:30;25
14/07/2018 7:30;14/07/2018 8:00;27
14/07/2018 8:00;14/07/2018 8:30;34
14/07/2018 8:30;14/07/2018 9:00;44
