Start_local;End_local;Ozone
09/07/2018 9:30;09/07/2018 10:00;72
09/07/2018 10:00;09/07/2018 10:30;76
09/07/2018 10:30;09/07/2018 11:00;79
09/07/2018 11:00;09/07/2018 11:30;77
09/07/2018 11:30;09/07/2018 12:00;73
09/07/2018 12:00;09/07/2018 12:30;77
09/07/2018 12:30;09/07/2018 13:00;81
09/07/2018 13:00;09/07/2018 13:30;74
09/07/2018 13:30;09/07/2018 14:00;79
09/07/2018 14:00;09/07/2018 14:30;86
09/07/2018 14:30;09/07/2018 15:00;82
09/07/2018 15:00;09/07/2018 15:30;80
09/07/2018 15:30;09/07/2018 16:00;
09/07/2018 16:00;09/07/2018 16:30;
09/07/2018 16:30;09/07/2018 17:00;73
09/07/2018 17:00;09/07/2018 17:30;72
09/07/2018 17:30;09/07/2018 18:00;70
09/07/2018 18:00;09/07/2018 18:30;77
09/07/2018 18:30;09/07/2018 19:00;83
09/07/2018 19:00;09/07/2018 19:30;89
09/07/2018 19:30;09/07/2018 20:00;77
09/07/2018 20:00;09/07/2018 20:30;80
09/07/2018 20:30;09/07/2018 21:00;78
09/07/2018 21:00;09/07/2018 21:30;73
09/07/2018 21:30;09/07/2018 22:00;63
09/07/2018 22:00;09/07/2018 22:30;
09/07/2018 22:30;09/07/2018 23:00;
09/07/2018 23:00;09/07/2018 23:30;
09/07/2018 23:30;10/07/2018 0:00;
10/07/2018 0:00;10/07/2018 0:30;
10/07/2018 0:30;10/07/2018 1:00;
10/07/2018 1:00;10/07/2018 1:30;
10/07/2018 1:30;10/07/2018 2:00;
10/07/2018 2:00;10/07/2018 2:30;60
10/07/2018 2:30;10/07/2018 3:00;58
10/07/2018 3:00;10/07/2018 3:30;55
10/07/2018 3:30;10/07/2018 4:00;
10/07/2018 4:00;10/07/2018 4:30;
10/07/2018 4:30;10/07/2018 5:00;
10/07/2018 5:00;10/07/2018 5:30;
10/07/2018 5:30;10/07/2018 6:00;
10/07/2018 6:00;10/07/2018 6:30;
10/07/2018 6:30;10/07/2018 7:00;
10/07/2018 7:00;10/07/2018 7:30;
10/07/2018 7:30;10/07/2018 8:00;
10/07/2018 8:00;10/07/2018 8:30;
10/07/2018 8:30;10/07/2018 9:00;
10/07/2018 9:00;10/07/2018 9:30;
10/07/2018 9:30;10/07/2018 10:00;
10/07/2018 10:00;10/07/2018 10:30;
10/07/2018 10:30;10/07/2018 11:00;
10/07/2018 11:00;10/07/2018 11:30;75
10/07/2018 11:30;10/07/2018 12:00;79
10/07/2018 12:00;10/07/2018 12:30;
10/07/2018 12:30;10/07/2018 13:00;86
10/07/2018 13:00;10/07/2018 13:30;88
10/07/2018 13:30;10/07/2018 14:00;
10/07/2018 14:00;10/07/2018 14:30;
10/07/2018 14:30;10/07/2018 15:00;
10/07/2018 15:00;10/07/2018 15:30;
10/07/2018 15:30;10/07/2018 16:00;
10/07/2018 16:00;10/07/2018 16:30;
10/07/2018 16:30;10/07/2018 17:00;
10/07/2018 17:00;10/07/2018 17:30;
10/07/2018 17:30;10/07/2018 18:00;90
10/07/2018 18:00;10/07/2018 18:30;72
10/07/2018 18:30;10/07/2018 19:00;73
10/07/2018 19:00;10/07/2018 19:30;
10/07/2018 19:30;10/07/2018 20:00;
10/07/2018 20:00;10/07/2018 20:30;65
10/07/2018 20:30;10/07/2018 21:00;60
10/07/2018 21:00;10/07/2018 21:30;64
10/07/2018 21:30;10/07/2018 22:00;
10/07/2018 22:00;10/07/2018 22:30;
10/07/2018 22:30;10/07/2018 23:00;
10/07/2018 23:00;10/07/2018 23:30;
10/07/2018 23:30;11/07/2018 0:00;
11/07/2018 0:00;11/07/2018 0:30;
11/07/2018 0:30;11/07/2018 1:00;
11/07/2018 1:00;11/07/2018 1:30;
11/07/2018 1:30;11/07/2018 2:00;
11/07/2018 2:00;11/07/2018 2:30;
11/07/2018 2:30;11/07/2018 3:00;54
11/07/2018 3:00;11/07/2018 3:30;45
11/07/2018 3:30;11/07/2018 4:00;
11/07/2018 4:00;11/07/2018 4:30;
11/07/2018 4:30;11/07/2018 5:00;
11/07/2018 5:00;11/07/2018 5:30;34
11/07/2018 5:30;11/07/2018 6:00;34
11/07/2018 6:00;11/07/2018 6:30;
11/07/2018 6:30;11/07/2018 7:00;
11/07/2018 7:00;11/07/2018 7:30;
11/07/2018 7:30;11/07/2018 8:00;
11/07/2018 8:00;11/07/2018 8:30;
11/07/2018 8:30;11/07/2018 9:00;
11/07/2018 9:00;11/07/2018 9:30;
11/07/2018 9:30;11/07/2018 10:00;
11/07/2018 10:00;11/07/2018 10:30;
11/07/2018 10:30;11/07/2018 11:00;
11/07/2018 11:00;11/07/2018 11:30;
11/07/2018 11:30;11/07/2018 12:00;
11/07/2018 12:00;11/07/2018 12:30;90
11/07/2018 12:30;11/07/2018 13:00;91
11/07/2018 13:00;11/07/2018 13:30;89
11/07/2018 13:30;11/07/2018 14:00;91
11/07/2018 14:00;11/07/2018 14:30;95
11/07/2018 14:30;11/07/2018 15:00;94
11/07/2018 15:00;11/07/2018 15:30;96
11/07/2018 15:30;11/07/2018 16:00;87
11/07/2018 16:00;11/07/2018 16:30;82
11/07/2018 16:30;11/07/2018 17:00;81
11/07/2018 17:00;11/07/2018 17:30;86
11/07/2018 17:30;11/07/2018 18:00;80
11/07/2018 18:00;11/07/2018 18:30;79
11/07/2018 18:30;11/07/2018 19:00;77
11/07/2018 19:00;11/07/2018 19:30;78
11/07/2018 19:30;11/07/2018 20:00;77
11/07/2018 20:00;11/07/2018 20:30;75
11/07/2018 20:30;11/07/2018 21:00;79
11/07/2018 21:00;11/07/2018 21:30;85
11/07/2018 21:30;11/07/2018 22:00;89
11/07/2018 22:00;11/07/2018 22:30;85
11/07/2018 22:30;11/07/2018 23:00;84
11/07/2018 23:00;11/07/2018 23:30;78
11/07/2018 23:30;12/07/2018 0:00;66
12/07/2018 0:00;12/07/2018 0:30;67
12/07/2018 0:30;12/07/2018 1:00;62
12/07/2018 1:00;12/07/2018 1:30;57
12/07/2018 1:30;12/07/2018 2:00;63
12/07/2018 2:00;12/07/2018 2:30;58
12/07/2018 2:30;12/07/2018 3:00;54
12/07/2018 3:00;12/07/2018 3:30;53
12/07/2018 3:30;12/07/2018 4:00;51
12/07/2018 4:00;12/07/2018 4:30;56
12/07/2018 4:30;12/07/2018 5:00;48
12/07/2018 5:00;12/07/2018 5:30;47
12/07/2018 5:30;12/07/2018 6:00;42
12/07/2018 6:00;12/07/2018 6:30;41
12/07/2018 6:30;12/07/2018 7:00;45
12/07/2018 7:00;12/07/2018 7:30;47
12/07/2018 7:30;12/07/2018 8:00;50
12/07/2018 8:00;12/07/2018 8:30;62
12/07/2018 8:30;12/07/2018 9:00;75
12/07/2018 9:00;12/07/2018 9:30;78
12/07/2018 9:30;12/07/2018 10:00;83
12/07/2018 10:00;12/07/2018 10:30;85
12/07/2018 10:30;12/07/2018 11:00;89
12/07/2018 11:00;12/07/2018 11:30;90
12/07/2018 11:30;12/07/2018 12:00;88
12/07/2018 12:00;12/07/2018 12:30;91
12/07/2018 12:30;12/07/2018 13:00;93
12/07/2018 13:00;12/07/2018 13:30;92
12/07/2018 13:30;12/07/2018 14:00;100
12/07/2018 14:00;12/07/2018 14:30;101
12/07/2018 14:30;12/07/2018 15:00;97
12/07/2018 15:00;12/07/2018 15:30;100
12/07/2018 15:30;12/07/2018 16:00;95
12/07/2018 16:00;12/07/2018 16:30;95
12/07/2018 16:30;12/07/2018 17:00;98
12/07/2018 17:00;12/07/2018 17:30;100
12/07/2018 17:30;12/07/2018 18:00;93
12/07/2018 18:00;12/07/2018 18:30;101
12/07/2018 18:30;12/07/2018 19:00;94
12/07/2018 19:00;12/07/2018 19:30;106
12/07/2018 19:30;12/07/2018 20:00;99
12/07/2018 20:00;12/07/2018 20:30;95
12/07/2018 20:30;12/07/2018 21:00;89
12/07/2018 21:00;12/07/2018 21:30;89
12/07/2018 21:30;12/07/2018 22:00;95
12/07/2018 22:00;12/07/2018 22:30;90
12/07/2018 22:30;12/07/2018 23:00;85
12/07/2018 23:00;12/07/2018 23:30;69
12/07/2018 23:30;13/07/2018 0:00;60
13/07/2018 0:00;13/07/2018 0:30;57
13/07/2018 0:30;13/07/2018 1:00;61
13/07/2018 1:00;13/07/2018 1:30;60
13/07/2018 1:30;13/07/2018 2:00;
13/07/2018 2:00;13/07/2018 2:30;
13/07/2018 2:30;13/07/2018 3:00;
13/07/2018 3:00;13/07/2018 3:30;
13/07/2018 3:30;13/07/2018 4:00;
13/07/2018 4:00;13/07/2018 4:30;
13/07/2018 4:30;13/07/2018 5:00;
13/07/2018 5:00;13/07/2018 5:30;
13/07/2018 5:30;13/07/2018 6:00;
13/07/2018 6:00;13/07/2018 6:30;
13/07/2018 6:30;13/07/2018 7:00;
13/07/2018 7:00;13/07/2018 7:30;
13/07/2018 7:30;13/07/2018 8:00;
13/07/2018 8:00;13/07/2018 8:30;
13/07/2018 8:30;13/07/2018 9:00;
13/07/2018 9:00;13/07/2018 9:30;
13/07/2018 9:30;13/07/2018 10:00;
13/07/2018 10:00;13/07/2018 10:30;
13/07/2018 10:30;13/07/2018 11:00;
13/07/2018 11:00;13/07/2018 11:30;
13/07/2018 11:30;13/07/2018 12:00;
13/07/2018 12:00;13/07/2018 12:30;
13/07/2018 12:30;13/07/2018 13:00;
13/07/2018 13:00;13/07/2018 13:30;
13/07/2018 13:30;13/07/2018 14:00;
13/07/2018 14:00;13/07/2018 14:30;
13/07/2018 14:30;13/07/2018 15:00;
13/07/2018 15:00;13/07/2018 15:30;
13/07/2018 15:30;13/07/2018 16:00;
13/07/2018 16:00;13/07/2018 16:30;
13/07/2018 16:30;13/07/2018 17:00;
13/07/2018 17:00;13/07/2018 17:30;
13/07/2018 17:30;13/07/2018 18:00;
13/07/2018 18:00;13/07/2018 18:30;
13/07/2018 18:30;13/07/2018 19:00;
13/07/2018 19:00;13/07/2018 19:30;
13/07/2018 19:30;13/07/2018 20:00;
13/07/2018 20:00;13/07/2018 20:30;
13/07/2018 20:30;13/07/2018 21:00;
13/07/2018 21:00;13/07/2018 21:30;
13/07/2018 21:30;13/07/2018 22:00;
13/07/2018 22:00;13/07/2018 22:30;
13/07/2018 22:30;13/07/2018 23:00;
13/07/2018 23:00;13/07/2018 23:30;
13/07/2018 23:30;14/07/2018 0:00;
14/07/2018 0:00;14/07/2018 0:30;
14/07/2018 0:30;14/07/2018 1:00;
14/07/2018 1:00;14/07/2018 1:30;
14/07/2018 1:30;14/07/2018 2:00;
14/07/2018 2:00;14/07/2018 2:30;
14/07/2018 2:30;14/07/2018 3:00;
14/07/2018 3:00;14/07/2018 3:30;
14/07/2018 3:30;14/07/2018 4:00;
14/07/2018 4:00;14/07/2018 4:30;
14/07/2018 4:30;14/07/2018 5:00;
14/07/2018 5:00;14/07/2018 5:30;
14/07/2018 5:30;14/07/2018 6:00;
14/07/2018 6:00;14/07/2018 6:30;
14/07/2018 6:30;14/07/2018 7:00;
14/07/2018 7:00;14/07/2018 7:30;
14/07/2018 7:30;14/07/2018 8:00;
14/07/2018 8:00;14/07/2018 8:30;
14/07/2018 8:30;14/07/2018 9:00;
14/07/2018 9:00;14/07/2018 9:30;
14/07/2018 9:30;14/07/2018 10:00;
14/07/2018 10:00;14/07/2018 10:30;
14/07/2018 10:30;14/07/2018 11:00;
14/07/2018 11:00;14/07/2018 11:30;
14/07/2018 11:30;14/07/2018 12:00;
14/07/2018 12:00;14/07/2018 12:30;
14/07/2018 12:30;14/07/2018 13:00;
14/07/2018 13:00;14/07/2018 13:30;
14/07/2018 13:30;14/07/2018 14:00;
14/07/2018 14:00;14/07/2018 14:30;
14/07/2018 14:30;14/07/2018 15:00;
14/07/2018 15:00;14/07/2018 15:30;
14/07/2018 15:30;14/07/2018 16:00;
14/07/2018 16:00;14/07/2018 16:30;
14/07/2018 16:30;14/07/2018 17:00;
14/07/2018 17:00;14/07/2018 17:30;
14/07/2018 17:30;14/07/2018 18:00;
14/07/2018 18:00;14/07/2018 18:30;
14/07/2018 18:30;14/07/2018 19:00;
14/07/2018 19:00;14/07/2018 19:30;
14/07/2018 19:30;14/07/2018 20:00;
14/07/2018 20:00;14/07/2018 20:30;
14/07/2018 20:30;14/07/2018 21:00;
14/07/2018 21:00;14/07/2018 21:30;
14/07/2018 21:30;14/07/2018 22:00;
14/07/2018 22:00;14/07/2018 22:30;
14/07/2018 22:30;14/07/2018 23:00;
14/07/2018 23:00;14/07/2018 23:30;
14/07/2018 23:30;15/07/2018 0:00;
15/07/2018 0:00;15/07/2018 0:30;
15/07/2018 0:30;15/07/2018 1:00;
15/07/2018 1:00;15/07/2018 1:30;
15/07/2018 1:30;15/07/2018 2:00;
15/07/2018 2:00;15/07/2018 2:30;
15/07/2018 2:30;15/07/2018 3:00;61
15/07/2018 3:00;15/07/2018 3:30;
15/07/2018 3:30;15/07/2018 4:00;
15/07/2018 4:00;15/07/2018 4:30;
15/07/2018 4:30;15/07/2018 5:00;
15/07/2018 5:00;15/07/2018 5:30;
15/07/2018 5:30;15/07/2018 6:00;
15/07/2018 6:00;15/07/2018 6:30;
15/07/2018 6:30;15/07/2018 7:00;
15/07/2018 7:00;15/07/2018 7:30;
15/07/2018 7:30;15/07/2018 8:00;
15/07/2018 8:00;15/07/2018 8:30;
15/07/2018 8:30;15/07/2018 9:00;
15/07/2018 9:00;15/07/2018 9:30;
15/07/2018 9:30;15/07/2018 10:00;
15/07/2018 10:00;15/07/2018 10:30;
15/07/2018 10:30;15/07/2018 11:00;
15/07/2018 11:00;15/07/2018 11:30;
15/07/2018 11:30;15/07/2018 12:00;
15/07/2018 12:00;15/07/2018 12:30;
15/07/2018 12:30;15/07/2018 13:00;
15/07/2018 13:00;15/07/2018 13:30;
15/07/2018 13:30;15/07/2018 14:00;
15/07/2018 14:00;15/07/2018 14:30;
15/07/2018 14:30;15/07/2018 15:00;
15/07/2018 15:00;15/07/2018 15:30;
15/07/2018 15:30;15/07/2018 16:00;
15/07/2018 16:00;15/07/2018 16:30;
15/07/2018 16:30;15/07/2018 17:00;
15/07/2018 17:00;15/07/2018 17:30;
15/07/2018 17:30;15/07/2018 18:00;
15/07/2018 18:00;15/07/2018 18:30;67
15/07/2018 18:30;15/07/2018 19:00;66
15/07/2018 19:00;15/07/2018 19:30;67
15/07/2018 19:30;15/07/2018 20:00;69
15/07/2018 20:00;15/07/2018 20:30;68
15/07/2018 20:30;15/07/2018 21:00;63
15/07/2018 21:00;15/07/2018 21:30;62
15/07/2018 21:30;15/07/2018 22:00;61
15/07/2018 22:00;15/07/2018 22:30;58
15/07/2018 22:30;15/07/2018 23:00;56
15/07/2018 23:00;15/07/2018 23:30;62
15/07/2018 23:30;16/07/2018 0:00;58
16/07/2018 0:00;16/07/2018 0:30;49
16/07/2018 0:30;16/07/2018 1:00;48
16/07/2018 1:00;16/07/2018 1:30;56
16/07/2018 1:30;16/07/2018 2:00;49
16/07/2018 2:00;16/07/2018 2:30;49
16/07/2018 2:30;16/07/2018 3:00;46
16/07/2018 3:00;16/07/2018 3:30;45
16/07/2018 3:30;16/07/2018 4:00;43
16/07/2018 4:00;16/07/2018 4:30;39
16/07/2018 4:30;16/07/2018 5:00;41
16/07/2018 5:00;16/07/2018 5:30;44
16/07/2018 5:30;16/07/2018 6:00;44
16/07/2018 6:00;16/07/2018 6:30;42
16/07/2018 6:30;16/07/2018 7:00;46
16/07/2018 7:00;16/07/2018 7:30;43
